,rect_count,car_count,total cost,cars used count,running time,GLOBAL_TIME_LIMIT_PER_ITER,time_exceeded_count
0,5,3,950,1,0.0009891986846923828,0.1,0
1,6,3,350,1,0.0020072460174560547,0.1,0
2,7,4,450,1,0.001961231231689453,0.1,0
3,8,4,100,1,0.006012678146362305,0.1,0
4,9,4,1550,2,0.0019981861114501953,0.1,0
5,10,3,1000,1,0.004957914352416992,0.1,0
6,11,5,750,1,0.008977174758911133,0.1,0
7,12,5,700,2,0.008975982666015625,0.1,0
8,13,4,450,1,0.015986204147338867,0.1,0
9,14,5,1550,2,0.01196908950805664,0.1,0
10,15,6,250,1,0.02191162109375,0.1,0
11,16,6,1050,2,0.015956878662109375,0.1,0
12,17,6,1300,2,0.019947052001953125,0.1,0
13,18,8,150,1,0.0558476448059082,0.1,0
14,19,9,1650,3,0.00894784927368164,0.1,0
15,20,9,400,1,0.057872772216796875,0.1,0
16,21,8,950,2,0.036869049072265625,0.1,0
17,22,8,350,1,0.12270402908325195,0.1,0
18,23,8,750,1,0.10468721389770508,0.1,0
19,24,9,100,1,0.1576075553894043,0.1,0
20,25,10,400,1,0.2044239044189453,0.1,0
21,26,10,800,2,0.034935951232910156,0.1,0
22,27,10,350,1,0.2064509391784668,0.1,0
23,28,9,700,1,0.20142865180969238,0.1,0
24,29,11,150,1,0.24936580657958984,0.1,0
25,30,11,900,3,0.031884193420410156,0.1,0
26,31,10,550,1,0.2593352794647217,0.1,0
27,32,12,1200,2,0.14558172225952148,0.1,0
28,33,14,350,2,0.06682205200195312,0.1,0
29,34,12,750,2,0.18353748321533203,0.1,0
30,35,11,1600,3,0.04089093208312988,0.1,0
31,36,12,1200,4,0.03490900993347168,0.1,0
32,37,12,900,3,0.0638267993927002,0.1,0
33,38,12,1050,3,0.13164544105529785,0.1,0
34,39,16,3200,5,0.02590036392211914,0.1,0
35,40,14,1250,3,0.08380627632141113,0.1,0
36,41,15,600,1,0.5654819011688232,0.1,0
37,42,14,700,4,0.0677938461303711,0.1,0
38,43,17,1100,3,0.09577059745788574,0.1,0
39,44,18,1000,2,0.608379602432251,0.1,0
40,45,17,950,3,0.07579708099365234,0.1,0
41,46,17,1150,4,0.12064766883850098,0.1,0
42,47,16,700,3,0.12569355964660645,0.1,0
43,48,18,1250,3,0.3181486129760742,0.1,0
44,49,15,600,3,0.16954684257507324,0.1,0
45,50,18,1750,5,0.05884122848510742,0.1,0
46,51,18,2000,5,0.11067414283752441,0.1,0
47,52,17,1750,4,0.14564013481140137,0.1,0
48,53,20,950,2,0.9813416004180908,0.1,0
49,54,18,2600,5,0.09474635124206543,0.1,0
50,60,23,2550,6,0.13966059684753418,0.1,0
51,90,29,1150,5,0.37100648880004883,0.1,0
52,120,44,2300,7,0.5694799423217773,0.1,0
53,150,53,3700,12,0.3730015754699707,0.1,0
54,180,64,1700,7,1.9378163814544678,0.1,0
55,210,72,4200,15,1.24167799949646,0.1,0
56,240,81,3550,9,6.226313829421997,0.1,14
57,270,93,6050,17,1.4800703525543213,0.1,0
58,300,110,4450,13,2.9580862522125244,0.1,0
59,330,110,4000,16,2.5860819816589355,0.1,0
60,350,122,3150,12,4.418179750442505,0.1,0
61,400,135,5950,22,1.9457929134368896,0.1,0
62,450,158,6150,21,4.712393045425415,0.1,0
63,500,167,8400,35,1.4920082092285156,0.1,0
64,550,196,6850,27,3.4647350311279297,0.1,0
65,600,200,8250,29,6.777866363525391,0.1,2
66,650,231,7350,29,15.000869989395142,0.1,75
67,700,239,8800,34,5.85732889175415,0.1,0
68,750,250,13350,42,4.746274709701538,0.1,0
69,800,270,9650,42,6.298179626464844,0.1,0
70,850,299,9200,38,8.289822816848755,0.1,0
71,900,318,13250,41,9.928440570831299,0.1,0
72,950,335,16550,59,3.952425956726074,0.1,0
73,1000,346,11800,48,9.42079758644104,0.1,0
