,rect_count,car_count,total cost,cars used count,running time,GLOBAL_TIME_LIMIT_PER_ITER,time_exceeded_count
0,5,3,950,1,0.0009715557098388672,1,0
1,6,3,350,1,0.0020172595977783203,1,0
2,7,4,450,1,0.002995729446411133,1,0
3,8,4,100,1,0.004982709884643555,1,0
4,9,4,1550,2,0.0029947757720947266,1,0
5,10,3,1000,1,0.005984067916870117,1,0
6,11,5,750,1,0.008975744247436523,1,0
7,12,5,700,2,0.008946657180786133,1,0
8,13,4,450,1,0.01795172691345215,1,0
9,14,5,1550,2,0.012966156005859375,1,0
10,15,6,250,1,0.02396702766418457,1,0
11,16,6,1050,2,0.015955448150634766,1,0
12,17,6,1300,2,0.020945310592651367,1,0
13,18,8,150,1,0.061833858489990234,1,0
14,19,9,1650,3,0.008946418762207031,1,0
15,20,9,400,1,0.0638582706451416,1,0
16,21,8,950,2,0.03986382484436035,1,0
17,22,8,350,1,0.13467049598693848,1,0
18,23,8,750,1,0.11369681358337402,1,0
19,24,9,100,1,0.17353510856628418,1,0
20,25,10,400,1,0.21941637992858887,1,0
21,26,10,800,2,0.039893150329589844,1,0
22,27,10,350,1,0.2213761806488037,1,0
23,28,9,700,1,0.21642065048217773,1,0
24,29,11,150,1,0.26631665229797363,1,0
25,30,11,900,3,0.03590130805969238,1,0
26,31,10,550,1,0.28623032569885254,1,0
27,32,12,1200,2,0.15858030319213867,1,0
28,33,14,350,2,0.07081294059753418,1,0
29,34,12,750,2,0.1685490608215332,1,0
30,35,11,1600,3,0.043853044509887695,1,0
31,36,12,1200,4,0.038925886154174805,1,0
32,37,12,900,3,0.06781792640686035,1,0
33,38,12,1050,3,0.14162325859069824,1,0
34,39,16,3200,5,0.027926921844482422,1,0
35,40,14,1250,3,0.08776140213012695,1,0
36,41,15,600,1,0.6043839454650879,1,0
37,42,14,700,4,0.06981277465820312,1,0
38,43,17,1100,3,0.10073041915893555,1,0
39,44,18,1000,2,0.6522538661956787,1,0
40,45,17,950,3,0.08075404167175293,1,0
41,46,17,1150,4,0.13067984580993652,1,0
42,47,16,700,3,0.13859987258911133,1,0
43,48,18,1250,3,0.34111690521240234,1,0
44,49,15,600,3,0.18550419807434082,1,0
45,50,18,1750,5,0.0637977123260498,1,0
46,51,18,2000,5,0.12267208099365234,1,0
47,52,17,1750,4,0.16356325149536133,1,0
48,53,20,950,2,1.086125135421753,1,0
49,54,18,2600,5,0.10870718955993652,1,0
50,60,23,2550,6,0.1565535068511963,1,0
51,90,29,1150,5,0.4228959083557129,1,0
52,120,44,2300,7,0.6183490753173828,1,0
53,150,53,3700,12,0.4009270668029785,1,0
54,180,64,1700,7,2.074451446533203,1,0
55,210,72,4200,15,1.356370449066162,1,0
56,240,81,3450,8,7.058117866516113,1,0
57,270,93,6050,17,1.584730625152588,1,0
58,300,110,4450,13,3.1844804286956787,1,0
59,330,110,4000,16,2.7646334171295166,1,0
60,350,122,3150,12,4.757272958755493,1,0
61,400,135,5950,22,2.088413715362549,1,0
62,450,158,6150,21,5.017573118209839,1,0
63,500,167,8400,35,1.6056714057922363,1,0
64,550,196,6850,27,3.7330422401428223,1,0
65,600,200,8250,29,7.0531017780303955,1,0
66,650,231,7150,28,14.677762985229492,1,0
67,700,239,8800,34,6.265209674835205,1,0
68,750,250,13350,42,5.086422681808472,1,0
69,800,270,9650,42,6.740965366363525,1,0
70,850,299,9200,38,8.86926007270813,1,0
71,900,318,13250,41,10.545791387557983,1,0
72,950,335,16550,59,4.211731672286987,1,0
73,1000,346,11800,48,10.061083316802979,1,0
