,rect_count,car_count,total cost,cars used count,running time,GLOBAL_TIME_LIMIT_PER_ITER,time_exceeded_count
0,5,3,950,1,0.0009682178497314453,0.1,0
1,6,3,350,1,0.002022981643676758,0.1,0
2,7,4,450,1,0.0019979476928710938,0.1,0
3,8,4,100,1,0.006949186325073242,0.1,0
4,9,4,1550,2,0.002992391586303711,0.1,0
5,10,3,1000,1,0.0060117244720458984,0.1,0
6,11,5,750,1,0.00994420051574707,0.1,0
7,12,5,700,2,0.009005546569824219,0.1,0
8,13,4,450,1,0.017922401428222656,0.1,0
9,14,5,1550,2,0.013994455337524414,0.1,0
10,15,6,250,1,0.029918670654296875,0.1,0
11,16,6,1050,2,0.011966943740844727,0.1,0
12,17,6,1300,2,0.02692723274230957,0.1,0
13,18,8,150,1,0.06482720375061035,0.1,0
14,19,9,1650,3,0.007978677749633789,0.1,0
15,20,9,400,1,0.08474349975585938,0.1,0
16,21,8,950,2,0.02995014190673828,0.1,0
17,22,8,350,1,0.14062285423278809,0.1,0
18,23,8,750,1,0.1266627311706543,0.1,0
19,24,9,100,1,0.1994645595550537,0.1,0
20,25,10,400,1,0.22437000274658203,0.1,0
21,26,10,800,2,0.04188847541809082,0.1,0
22,27,10,350,1,0.2703056335449219,0.1,0
23,28,9,700,1,0.3001675605773926,0.1,0
24,29,11,150,1,0.27130651473999023,0.1,0
25,30,11,900,3,0.022936105728149414,0.1,0
26,31,10,550,1,0.3889589309692383,0.1,0
27,32,12,1200,2,0.16353321075439453,0.1,0
28,33,14,350,2,0.07582712173461914,0.1,0
29,34,12,750,2,0.22838759422302246,0.1,0
30,35,11,1600,3,0.050864219665527344,0.1,0
31,36,12,1200,4,0.028893709182739258,0.1,0
32,37,12,900,3,0.07083916664123535,0.1,0
33,38,12,1050,3,0.11067438125610352,0.1,0
34,39,16,3200,5,0.032941341400146484,0.1,0
35,40,14,1250,3,0.10568761825561523,0.1,0
36,41,15,600,1,0.7580013275146484,0.1,0
37,42,14,700,4,0.07480049133300781,0.1,0
38,43,17,1100,3,0.08574080467224121,0.1,0
39,44,18,1000,2,0.7480337619781494,0.1,0
40,45,17,950,3,0.08775997161865234,0.1,0
41,46,17,1150,4,0.1266326904296875,0.1,0
42,47,16,700,3,0.12865471839904785,0.1,0
43,48,18,1250,3,0.3540816307067871,0.1,0
44,49,15,600,3,0.16556191444396973,0.1,0
45,50,18,1750,5,0.05382227897644043,0.1,0
46,51,18,2000,5,0.1346724033355713,0.1,0
47,52,17,1750,4,0.15757513046264648,0.1,0
48,53,20,950,2,0.9494600296020508,0.1,0
49,54,18,2600,5,0.0857701301574707,0.1,0
50,60,23,2550,6,0.1625654697418213,0.1,0
51,90,29,1150,5,0.48966050148010254,0.1,0
52,120,44,2300,7,0.5874285697937012,0.1,0
53,150,53,3700,12,0.37702202796936035,0.1,0
54,180,64,1700,7,1.9358210563659668,0.1,0
55,210,72,4200,15,1.734388828277588,0.1,0
56,240,81,3550,9,7.320410490036011,0.1,24
57,270,93,6050,17,1.4112305641174316,0.1,0
58,300,110,4450,13,3.276235818862915,0.1,0
59,330,110,4000,16,2.648913621902466,0.1,0
60,350,122,3150,12,16.642475366592407,0.1,119
61,400,135,5950,22,1.795168161392212,0.1,0
62,450,158,6150,21,4.624658107757568,0.1,0
63,500,167,8400,35,1.4670753479003906,0.1,0
64,550,196,6850,27,2.9949843883514404,0.1,0
65,600,200,8250,29,6.2632482051849365,0.1,0
66,650,231,7350,29,46.28115797042847,0.1,376
67,700,239,8800,34,6.322116136550903,0.1,0
68,750,250,13350,42,4.936796188354492,0.1,0
69,800,270,9650,42,5.554141521453857,0.1,0
70,850,299,9200,38,8.581015586853027,0.1,0
71,900,318,13250,41,11.095346450805664,0.1,0
72,950,335,16550,59,3.6502058506011963,0.1,0
73,1000,346,11800,48,8.742640495300293,0.1,0
