rectangle1 car8 1, 17 9
rectangle2 car8 0, 12 9
rectangle3 car8 1, 0 8
rectangle4 car8 1, 14 4
rectangle5 car8 1, 8 9
rectangle6 car8 0, 17 2
rectangle7 car8 1, 10 10
rectangle8 car8 1, 14 0
rectangle9 car8 0, 0 3
rectangle10 car8 1, 5 3
rectangle11 car8 0, 12 13
rectangle12 car8 0, 10 5
rectangle13 car8 1, 5 5
rectangle14 car8 1, 6 11
rectangle15 car8 0, 0 0
rectangle16 car8 1, 0 12
rectangle17 car8 1, 1 9
rectangle18 car8 0, 7 5
rectangle19 car8 1, 6 9
rectangle20 car8 1, 7 0
rectangle21 car8 1, 15 12
rectangle22 car8 1, 3 0
