rectangle1 car12 1, 0 5
rectangle2 car7 1, 8 11
rectangle3 car7 1, 5 10
rectangle4 car7 0, 0 10
rectangle5 car7 1, 2 5
rectangle6 car7 0, 11 1
rectangle7 car12 0, 7 1
rectangle8 car7 0, 6 10
rectangle9 car7 1, 2 9
rectangle10 car7 1, 11 0
rectangle11 car7 1, 6 9
rectangle12 car12 0, 7 0
rectangle13 car7 0, 10 13
rectangle14 car7 0, 0 5
rectangle15 car12 0, 1 4
rectangle16 car7 0, 9 0
rectangle17 car12 0, 1 8
rectangle18 car7 0, 8 4
rectangle19 car7 1, 4 0
rectangle20 car7 0, 0 4
rectangle21 car12 1, 8 9
rectangle22 car12 1, 10 6
rectangle23 car7 1, 11 2
rectangle24 car7 0, 8 9
rectangle25 car12 1, 0 10
rectangle26 car7 1, 5 4
rectangle27 car7 1, 6 6
rectangle28 car12 0, 3 9
rectangle29 car7 1, 0 0
rectangle30 car7 0, 8 13
rectangle31 car12 0, 0 0
rectangle32 car12 1, 3 0
rectangle33 car12 0, 10 8
rectangle34 car12 1, 3 5
rectangle35 car12 0, 6 6
rectangle36 car12 0, 8 6
rectangle37 car7 0, 5 6
