rectangle1 car97 1, 15 0
rectangle2 car110 1, 1 19
rectangle3 car98 0, 3 11
rectangle4 car41 0, 11 10
rectangle5 car105 1, 14 0
rectangle6 car98 1, 5 12
rectangle7 car97 1, 7 11
rectangle8 car110 1, 0 15
rectangle9 car106 1, 13 7
rectangle10 car106 0, 13 0
rectangle11 car106 0, 4 12
rectangle12 car82 1, 0 3
rectangle13 car107 1, 0 0
rectangle14 car94 0, 0 13
rectangle15 car98 0, 9 0
rectangle16 car110 1, 8 13
rectangle17 car41 0, 4 2
rectangle18 car110 0, 0 1
rectangle19 car106 1, 21 7
rectangle20 car41 1, 0 1
rectangle21 car92 1, 12 8
rectangle22 car97 1, 21 13
rectangle23 car41 0, 0 0
rectangle24 car92 1, 17 0
rectangle25 car105 1, 0 4
rectangle26 car98 1, 4 12
rectangle27 car41 0, 0 9
rectangle28 car110 0, 5 10
rectangle29 car97 0, 13 13
rectangle30 car41 1, 6 5
rectangle31 car92 1, 7 4
rectangle32 car82 1, 5 5
rectangle33 car97 1, 5 11
rectangle34 car41 1, 0 6
rectangle35 car97 1, 2 20
rectangle36 car92 0, 24 0
rectangle37 car92 1, 0 6
rectangle38 car41 1, 0 14
rectangle39 car110 0, 5 4
rectangle40 car98 1, 16 13
rectangle41 car82 1, 8 9
rectangle42 car94 1, 4 11
rectangle43 car105 1, 8 5
rectangle44 car40 1, 2 12
rectangle45 car92 1, 12 10
rectangle46 car97 0, 11 20
rectangle47 car41 1, 5 10
rectangle48 car98 1, 9 4
rectangle49 car105 1, 0 0
rectangle50 car98 0, 9 5
rectangle51 car40 1, 8 2
rectangle52 car105 0, 5 6
rectangle53 car105 1, 8 1
rectangle54 car97 1, 2 0
rectangle55 car98 0, 0 9
rectangle56 car94 1, 1 18
rectangle57 car98 1, 17 8
rectangle58 car40 1, 5 8
rectangle59 car97 1, 2 2
rectangle60 car41 0, 14 0
rectangle61 car82 1, 0 7
rectangle62 car97 1, 5 3
rectangle63 car82 1, 0 0
rectangle64 car94 0, 7 13
rectangle65 car98 0, 0 7
rectangle66 car98 1, 8 10
rectangle67 car98 0, 1 10
rectangle68 car105 1, 3 4
rectangle69 car106 1, 10 12
rectangle70 car97 0, 0 8
rectangle71 car40 1, 0 7
rectangle72 car94 1, 8 1
rectangle73 car97 1, 12 19
rectangle74 car107 0, 0 3
rectangle75 car97 0, 5 16
rectangle76 car41 0, 3 1
rectangle77 car92 0, 12 1
rectangle78 car98 1, 5 5
rectangle79 car92 1, 5 0
rectangle80 car97 1, 10 13
rectangle81 car92 1, 0 2
rectangle82 car106 0, 4 9
rectangle83 car82 0, 1 7
rectangle84 car94 1, 9 3
rectangle85 car40 1, 4 1
rectangle86 car106 1, 6 8
rectangle87 car110 0, 2 8
rectangle88 car41 0, 5 14
rectangle89 car97 0, 10 18
rectangle90 car92 0, 3 2
rectangle91 car92 1, 3 4
rectangle92 car94 1, 0 9
rectangle93 car97 0, 8 10
rectangle94 car98 0, 8 0
rectangle95 car41 1, 13 2
rectangle96 car97 1, 17 13
rectangle97 car105 0, 8 0
rectangle98 car97 0, 17 17
rectangle99 car110 1, 0 3
rectangle100 car94 0, 2 15
rectangle101 car97 1, 7 0
rectangle102 car97 1, 0 12
rectangle103 car110 0, 2 3
rectangle104 car98 1, 15 0
rectangle105 car97 1, 24 15
rectangle106 car41 0, 10 15
rectangle107 car98 0, 14 9
rectangle108 car107 0, 4 3
rectangle109 car41 0, 5 12
rectangle110 car41 1, 15 1
rectangle111 car97 0, 22 2
rectangle112 car110 0, 1 8
rectangle113 car92 0, 12 0
rectangle114 car105 0, 19 8
rectangle115 car97 1, 8 16
rectangle116 car94 1, 5 8
rectangle117 car110 1, 11 11
rectangle118 car106 0, 17 9
rectangle119 car105 1, 13 1
rectangle120 car41 0, 6 0
rectangle121 car97 0, 4 5
rectangle122 car94 1, 9 7
rectangle123 car41 1, 14 8
rectangle124 car40 1, 0 12
rectangle125 car98 0, 0 15
rectangle126 car106 1, 6 4
rectangle127 car106 1, 11 7
rectangle128 car105 0, 7 6
rectangle129 car97 1, 18 12
rectangle130 car105 1, 19 0
rectangle131 car97 0, 16 18
rectangle132 car105 1, 5 9
rectangle133 car98 0, 13 12
rectangle134 car40 0, 8 11
rectangle135 car94 0, 4 23
rectangle136 car94 0, 0 4
rectangle137 car97 0, 16 20
rectangle138 car82 0, 8 1
rectangle139 car92 1, 17 5
rectangle140 car105 1, 0 9
rectangle141 car106 1, 20 11
rectangle142 car98 1, 20 3
rectangle143 car97 0, 11 1
rectangle144 car41 1, 8 0
rectangle145 car110 1, 2 7
rectangle146 car97 1, 22 20
rectangle147 car98 1, 1 4
rectangle148 car98 0, 14 3
rectangle149 car97 0, 23 2
rectangle150 car82 0, 5 8
rectangle151 car97 1, 0 20
rectangle152 car98 1, 10 3
rectangle153 car41 1, 11 5
rectangle154 car82 1, 5 0
rectangle155 car106 1, 9 5
rectangle156 car97 1, 0 5
rectangle157 car97 1, 11 0
rectangle158 car94 1, 0 0
rectangle159 car110 0, 5 9
rectangle160 car97 1, 20 0
rectangle161 car98 0, 6 12
rectangle162 car40 0, 8 9
rectangle163 car98 0, 12 8
rectangle164 car97 0, 0 0
rectangle165 car106 1, 10 7
rectangle166 car98 1, 4 11
rectangle167 car97 1, 18 20
rectangle168 car92 1, 14 6
rectangle169 car41 1, 14 13
rectangle170 car98 0, 9 14
rectangle171 car40 1, 0 5
rectangle172 car94 1, 5 18
rectangle173 car97 0, 21 15
rectangle174 car97 1, 17 11
rectangle175 car94 0, 2 13
rectangle176 car106 0, 0 14
rectangle177 car106 1, 3 0
rectangle178 car97 1, 10 21
rectangle179 car92 1, 4 0
rectangle180 car106 1, 15 11
rectangle181 car105 1, 19 4
rectangle182 car94 1, 5 0
rectangle183 car92 1, 7 5
rectangle184 car106 0, 12 9
rectangle185 car110 0, 0 0
rectangle186 car92 0, 0 9
rectangle187 car106 1, 8 0
rectangle188 car92 0, 22 1
rectangle189 car94 1, 9 5
rectangle190 car92 1, 1 6
rectangle191 car98 0, 9 10
rectangle192 car98 1, 17 3
rectangle193 car92 1, 12 6
rectangle194 car40 1, 0 0
rectangle195 car97 1, 12 10
rectangle196 car41 1, 15 2
rectangle197 car105 0, 12 5
rectangle198 car110 1, 1 16
rectangle199 car105 1, 14 5
rectangle200 car92 0, 0 0
rectangle201 car106 0, 8 1
rectangle202 car106 0, 18 5
rectangle203 car106 1, 13 3
rectangle204 car98 1, 1 14
rectangle205 car98 1, 0 3
rectangle206 car98 1, 9 9
rectangle207 car94 1, 0 24
rectangle208 car98 1, 8 12
rectangle209 car107 0, 13 0
rectangle210 car106 1, 18 0
rectangle211 car97 0, 19 7
rectangle212 car106 1, 1 5
rectangle213 car110 1, 11 6
rectangle214 car110 1, 4 1
rectangle215 car110 1, 8 19
rectangle216 car105 0, 3 6
rectangle217 car105 1, 9 9
rectangle218 car97 1, 4 7
rectangle219 car41 0, 7 12
rectangle220 car106 1, 5 9
rectangle221 car97 0, 18 5
rectangle222 car110 1, 0 12
rectangle223 car94 0, 1 21
rectangle224 car41 0, 10 17
rectangle225 car107 0, 7 0
rectangle226 car97 1, 5 19
rectangle227 car106 0, 0 5
rectangle228 car40 1, 5 3
rectangle229 car41 0, 5 8
rectangle230 car40 1, 5 0
rectangle231 car110 0, 11 2
rectangle232 car94 0, 6 2
rectangle233 car98 0, 5 0
rectangle234 car92 0, 9 10
rectangle235 car97 1, 8 7
rectangle236 car98 0, 12 12
rectangle237 car97 1, 20 7
rectangle238 car94 0, 3 3
rectangle239 car106 0, 12 10
rectangle240 car98 0, 17 0
rectangle241 car106 1, 0 0
rectangle242 car97 0, 19 5
rectangle243 car97 0, 21 19
rectangle244 car97 1, 15 5
rectangle245 car92 1, 22 6
rectangle246 car107 0, 12 1
rectangle247 car97 0, 0 9
rectangle248 car106 1, 6 10
rectangle249 car92 0, 7 10
rectangle250 car106 1, 18 6
rectangle251 car41 1, 15 13
rectangle252 car94 1, 9 9
rectangle253 car92 1, 7 0
rectangle254 car97 0, 13 6
rectangle255 car97 1, 13 0
rectangle256 car98 0, 5 4
