rectangle1 car2 0, 9 0
rectangle2 car14 0, 1 1
rectangle3 car12 0, 4 0
rectangle4 car12 1, 6 8
rectangle5 car12 1, 0 6
rectangle6 car14 0, 12 0
rectangle7 car12 0, 8 5
rectangle8 car10 1, 0 5
rectangle9 car12 1, 9 0
rectangle10 car14 1, 10 1
rectangle11 car14 1, 0 6
rectangle12 car2 0, 9 3
rectangle13 car10 1, 2 2
rectangle14 car2 1, 0 0
rectangle15 car14 0, 4 5
rectangle16 car2 1, 1 1
rectangle17 car10 0, 2 0
rectangle18 car12 0, 0 7
rectangle19 car2 1, 0 1
rectangle20 car2 1, 5 0
rectangle21 car17 1, 0 0
rectangle22 car12 0, 4 7
rectangle23 car14 1, 3 0
rectangle24 car10 0, 7 2
rectangle25 car12 1, 3 2
rectangle26 car14 1, 4 0
rectangle27 car12 1, 4 4
rectangle28 car17 1, 0 4
rectangle29 car12 1, 0 2
rectangle30 car14 1, 8 3
rectangle31 car10 0, 6 0
rectangle32 car14 1, 0 1
rectangle33 car2 0, 7 4
rectangle34 car17 0, 0 10
rectangle35 car14 1, 5 1
rectangle36 car12 1, 2 3
rectangle37 car12 0, 0 0
rectangle38 car10 0, 3 5
rectangle39 car2 1, 10 4
rectangle40 car17 0, 0 8
rectangle41 car12 1, 10 8
rectangle42 car14 1, 8 0
rectangle43 car10 1, 0 0
rectangle44 car12 0, 6 7
rectangle45 car14 0, 7 0
rectangle46 car2 1, 5 4
rectangle47 car17 1, 0 11
rectangle48 car2 1, 0 4
rectangle49 car17 1, 0 2
rectangle50 car14 0, 1 4
