rectangle1 car14 1, 0 10
rectangle2 car54 0, 12 0
rectangle3 car54 1, 2 7
rectangle4 car38 0, 7 12
rectangle5 car54 1, 16 0
rectangle6 car66 0, 6 3
rectangle7 car12 1, 3 0
rectangle8 car21 1, 0 2
rectangle9 car38 1, 2 5
rectangle10 car12 0, 2 5
rectangle11 car6 0, 1 0
rectangle12 car26 0, 0 0
rectangle13 car21 0, 0 0
rectangle14 car38 1, 1 5
rectangle15 car38 1, 4 11
rectangle16 car29 1, 4 9
rectangle17 car38 0, 10 6
rectangle18 car21 1, 2 0
rectangle19 car15 1, 3 9
rectangle20 car21 1, 7 3
rectangle21 car38 1, 9 10
rectangle22 car55 1, 3 0
rectangle23 car38 1, 7 6
rectangle24 car55 0, 0 7
rectangle25 car13 0, 10 1
rectangle26 car38 1, 8 6
rectangle27 car66 0, 8 2
rectangle28 car24 0, 7 4
rectangle29 car54 1, 17 7
rectangle30 car55 0, 4 7
rectangle31 car38 1, 0 0
rectangle32 car10 1, 9 0
rectangle33 car5 1, 0 0
rectangle34 car15 1, 4 0
rectangle35 car54 1, 17 10
rectangle36 car24 1, 4 0
rectangle37 car38 1, 0 12
rectangle38 car38 0, 2 0
rectangle39 car12 0, 4 5
rectangle40 car29 0, 0 0
rectangle41 car38 0, 0 7
rectangle42 car54 1, 5 7
rectangle43 car29 1, 0 5
rectangle44 car54 1, 0 1
rectangle45 car24 0, 0 6
rectangle46 car10 0, 0 5
rectangle47 car66 0, 0 2
rectangle48 car10 1, 9 5
rectangle49 car38 0, 0 16
rectangle50 car24 1, 0 5
rectangle51 car62 0, 3 2
rectangle52 car66 1, 4 0
rectangle53 car57 1, 0 3
rectangle54 car13 1, 6 2
rectangle55 car38 0, 7 14
rectangle56 car64 1, 0 5
rectangle57 car26 1, 0 8
rectangle58 car54 1, 6 1
rectangle59 car54 0, 7 2
rectangle60 car54 1, 7 5
rectangle61 car12 1, 2 6
rectangle62 car12 0, 4 9
rectangle63 car12 1, 0 5
rectangle64 car14 0, 7 0
rectangle65 car54 1, 13 8
rectangle66 car62 0, 0 12
rectangle67 car14 0, 0 0
rectangle68 car14 0, 5 4
rectangle69 car15 0, 0 0
rectangle70 car38 1, 6 7
rectangle71 car10 0, 2 11
rectangle72 car14 1, 5 13
rectangle73 car62 0, 0 8
rectangle74 car29 0, 0 9
rectangle75 car24 1, 5 1
rectangle76 car66 0, 6 2
rectangle77 car24 1, 10 0
rectangle78 car12 1, 5 0
rectangle79 car13 1, 5 0
rectangle80 car15 1, 0 5
rectangle81 car24 0, 2 7
rectangle82 car38 1, 0 4
rectangle83 car29 1, 4 1
rectangle84 car54 1, 0 9
rectangle85 car62 1, 0 4
rectangle86 car29 0, 4 5
rectangle87 car66 0, 3 4
rectangle88 car54 0, 1 10
rectangle89 car24 1, 10 6
rectangle90 car66 1, 0 1
rectangle91 car54 1, 15 5
rectangle92 car62 0, 6 12
rectangle93 car62 1, 1 4
rectangle94 car21 1, 0 5
rectangle95 car66 1, 5 9
rectangle96 car55 0, 0 5
rectangle97 car12 0, 0 0
rectangle98 car10 0, 0 11
rectangle99 car54 0, 17 5
rectangle100 car17 0, 0 0
rectangle101 car66 0, 4 2
rectangle102 car17 1, 0 4
rectangle103 car10 1, 4 4
rectangle104 car21 0, 5 0
rectangle105 car13 1, 0 2
rectangle106 car64 1, 2 0
rectangle107 car24 1, 3 0
rectangle108 car29 0, 5 0
