rectangle1 car74 0, 14 11
rectangle2 car61 1, 0 9
rectangle3 car74 1, 13 2
rectangle4 car32 1, 0 2
rectangle5 car79 1, 17 10
rectangle6 car79 0, 17 7
rectangle7 car79 1, 10 3
rectangle8 car74 1, 2 6
rectangle9 car79 1, 14 14
rectangle10 car74 1, 4 6
rectangle11 car74 0, 9 18
rectangle12 car32 1, 0 1
rectangle13 car32 1, 1 0
rectangle14 car74 1, 10 16
rectangle15 car79 1, 0 7
rectangle16 car74 0, 11 10
rectangle17 car74 0, 13 0
rectangle18 car61 0, 9 11
rectangle19 car74 1, 5 17
rectangle20 car61 1, 5 11
rectangle21 car79 1, 15 0
rectangle22 car74 1, 0 18
rectangle23 car74 1, 15 2
rectangle24 car79 1, 9 12
rectangle25 car26 0, 5 7
rectangle26 car53 1, 6 6
rectangle27 car70 1, 18 5
rectangle28 car53 1, 13 9
rectangle29 car53 1, 12 6
rectangle30 car26 0, 0 10
rectangle31 car70 0, 6 16
rectangle32 car26 1, 5 5
rectangle33 car61 0, 5 1
rectangle34 car26 1, 8 7
rectangle35 car26 1, 0 0
rectangle36 car70 1, 6 20
rectangle37 car79 1, 17 15
rectangle38 car70 1, 5 12
rectangle39 car79 1, 10 17
rectangle40 car53 0, 0 5
rectangle41 car79 1, 17 1
rectangle42 car79 1, 3 18
rectangle43 car79 0, 8 13
rectangle44 car79 1, 0 16
rectangle45 car61 1, 5 9
rectangle46 car74 1, 12 0
rectangle47 car53 1, 0 0
rectangle48 car79 1, 6 18
rectangle49 car79 1, 9 0
rectangle50 car74 1, 2 18
rectangle51 car79 0, 6 0
rectangle52 car61 1, 7 0
rectangle53 car79 1, 17 2
rectangle54 car74 0, 10 4
rectangle55 car63 0, 2 11
rectangle56 car79 1, 4 7
rectangle57 car70 0, 10 0
rectangle58 car70 0, 14 13
rectangle59 car70 0, 23 5
rectangle60 car70 0, 0 16
rectangle61 car70 1, 16 13
rectangle62 car74 1, 0 11
rectangle63 car79 1, 18 11
rectangle64 car79 1, 1 18
rectangle65 car74 1, 10 11
rectangle66 car79 0, 19 10
rectangle67 car74 1, 11 7
rectangle68 car79 1, 17 0
rectangle69 car79 1, 8 7
rectangle70 car53 0, 10 7
rectangle71 car70 0, 0 0
rectangle72 car70 1, 20 0
rectangle73 car79 0, 15 2
rectangle74 car79 1, 9 6
rectangle75 car79 1, 14 15
rectangle76 car74 0, 12 18
rectangle77 car74 1, 5 1
rectangle78 car70 1, 11 4
rectangle79 car41 1, 0 0
rectangle80 car70 1, 6 8
rectangle81 car79 1, 0 2
rectangle82 car61 1, 0 1
rectangle83 car53 0, 6 3
rectangle84 car41 1, 0 5
rectangle85 car70 0, 5 2
rectangle86 car26 0, 7 18
rectangle87 car53 1, 0 10
rectangle88 car26 1, 2 16
rectangle89 car79 1, 20 18
rectangle90 car74 0, 16 3
rectangle91 car53 0, 3 8
rectangle92 car79 0, 2 5
rectangle93 car79 1, 4 16
rectangle94 car61 1, 8 9
rectangle95 car74 1, 1 18
rectangle96 car79 1, 20 2
rectangle97 car26 1, 5 2
rectangle98 car79 1, 21 1
rectangle99 car61 1, 8 1
rectangle100 car74 1, 9 17
rectangle101 car61 1, 9 9
rectangle102 car63 1, 0 0
rectangle103 car79 0, 0 0
rectangle104 car79 0, 9 1
rectangle105 car61 1, 4 8
rectangle106 car79 1, 7 15
rectangle107 car61 1, 6 6
rectangle108 car74 0, 8 21
rectangle109 car32 0, 0 3
rectangle110 car70 1, 1 4
rectangle111 car26 1, 0 5
rectangle112 car53 1, 15 0
rectangle113 car53 1, 5 8
rectangle114 car32 1, 5 2
rectangle115 car79 1, 5 11
rectangle116 car74 1, 4 21
rectangle117 car63 1, 3 3
rectangle118 car32 1, 5 0
rectangle119 car74 1, 10 1
rectangle120 car74 0, 5 9
rectangle121 car26 1, 7 16
rectangle122 car53 0, 13 12
rectangle123 car63 1, 2 6
rectangle124 car26 0, 3 10
rectangle125 car61 1, 0 8
rectangle126 car79 0, 10 1
rectangle127 car74 0, 14 16
rectangle128 car79 1, 13 11
rectangle129 car79 1, 16 15
rectangle130 car74 0, 5 11
rectangle131 car53 1, 2 4
rectangle132 car74 1, 4 9
rectangle133 car79 1, 17 13
rectangle134 car61 1, 2 0
rectangle135 car70 1, 22 5
rectangle136 car41 1, 5 5
rectangle137 car41 0, 5 0
rectangle138 car79 0, 11 17
rectangle139 car74 0, 0 0
rectangle140 car70 0, 7 14
rectangle141 car70 1, 21 8
rectangle142 car53 1, 11 9
rectangle143 car70 1, 17 19
rectangle144 car53 1, 16 6
rectangle145 car53 1, 2 8
rectangle146 car26 0, 5 11
rectangle147 car70 0, 0 4
rectangle148 car79 1, 21 15
rectangle149 car70 1, 22 16
rectangle150 car79 1, 5 0
rectangle151 car74 0, 5 0
rectangle152 car26 0, 6 7
rectangle153 car74 1, 6 6
rectangle154 car79 0, 16 6
rectangle155 car74 0, 11 4
rectangle156 car26 1, 6 0
rectangle157 car79 1, 15 5
rectangle158 car74 1, 13 22
rectangle159 car79 0, 7 4
rectangle160 car53 0, 10 0
rectangle161 car79 0, 1 11
rectangle162 car61 1, 4 12
rectangle163 car79 0, 0 12
rectangle164 car70 1, 15 4
rectangle165 car53 0, 11 6
rectangle166 car79 0, 11 3
rectangle167 car70 1, 4 13
rectangle168 car70 1, 2 12
rectangle169 car53 0, 16 8
rectangle170 car70 1, 15 0
rectangle171 car74 1, 0 14
rectangle172 car70 1, 1 8
rectangle173 car70 0, 0 13
rectangle174 car70 1, 15 5
rectangle175 car74 0, 0 6
rectangle176 car70 1, 6 7
rectangle177 car63 0, 3 0
rectangle178 car70 0, 15 13
rectangle179 car61 0, 0 4
rectangle180 car74 1, 0 1
rectangle181 car53 1, 10 2
rectangle182 car74 0, 1 11
rectangle183 car79 0, 17 11
rectangle184 car70 1, 17 8
rectangle185 car79 0, 13 14
rectangle186 car70 1, 9 11
rectangle187 car26 1, 2 15
rectangle188 car32 1, 0 6
rectangle189 car74 1, 3 21
rectangle190 car79 1, 9 17
rectangle191 car74 1, 10 2
rectangle192 car53 1, 6 7
rectangle193 car74 1, 16 8
rectangle194 car53 0, 5 0
rectangle195 car26 1, 5 1
rectangle196 car79 0, 13 7
rectangle197 car70 1, 6 18
rectangle198 car79 0, 2 2
rectangle199 car70 1, 12 4
rectangle200 car53 1, 15 3
rectangle201 car61 1, 4 0
rectangle202 car74 0, 11 11
rectangle203 car74 1, 5 13
rectangle204 car53 1, 15 6
rectangle205 car70 0, 15 9
rectangle206 car70 1, 23 6
rectangle207 car74 1, 11 12
rectangle208 car70 1, 13 2
rectangle209 car70 0, 0 9
rectangle210 car70 1, 21 13
rectangle211 car79 0, 6 10
rectangle212 car70 0, 8 0
rectangle213 car70 0, 16 9
rectangle214 car70 0, 11 13
rectangle215 car70 1, 0 2
rectangle216 car70 0, 20 20
rectangle217 car70 1, 5 0
rectangle218 car70 1, 10 4
rectangle219 car74 0, 11 14
rectangle220 car79 0, 13 0
rectangle221 car70 0, 10 2
rectangle222 car70 1, 2 8
rectangle223 car70 0, 21 11
rectangle224 car70 0, 17 5
rectangle225 car63 0, 0 3
rectangle226 car74 1, 13 18
rectangle227 car70 0, 2 15
rectangle228 car70 0, 6 13
rectangle229 car26 0, 0 15
rectangle230 car70 1, 10 9
rectangle231 car70 1, 15 16
rectangle232 car70 1, 8 7
rectangle233 car70 0, 11 17
rectangle234 car79 1, 20 15
rectangle235 car70 1, 5 3
rectangle236 car70 0, 13 17
rectangle237 car70 1, 19 16
rectangle238 car70 1, 1 16
rectangle239 car74 1, 3 18
rectangle240 car70 1, 17 16
