rectangle1 car10 1, 12 2
rectangle2 car3 1, 8 0
rectangle3 car10 0, 13 7
rectangle4 car3 1, 5 4
rectangle5 car3 0, 3 4
rectangle6 car10 1, 12 0
rectangle7 car10 1, 4 5
rectangle8 car10 0, 16 5
rectangle9 car10 0, 0 2
rectangle10 car10 1, 15 0
rectangle11 car10 0, 0 0
rectangle12 car10 1, 9 0
rectangle13 car10 1, 4 2
rectangle14 car10 0, 0 5
rectangle15 car10 1, 12 4
rectangle16 car10 0, 4 0
rectangle17 car3 1, 0 0
rectangle18 car3 1, 3 0
rectangle19 car10 0, 0 3
rectangle20 car10 0, 12 1
rectangle21 car3 0, 3 1
rectangle22 car10 0, 13 4
rectangle23 car3 0, 0 5
rectangle24 car10 0, 9 4
rectangle25 car10 0, 5 3
rectangle26 car10 1, 11 4
