rectangle1 car66 1, 7 5
rectangle2 car29 1, 7 1
rectangle3 car22 0, 0 1
rectangle4 car108 1, 8 0
rectangle5 car73 1, 5 8
rectangle6 car29 1, 9 2
rectangle7 car110 1, 8 10
rectangle8 car48 0, 0 5
rectangle9 car10 1, 0 9
rectangle10 car96 0, 2 7
rectangle11 car73 1, 12 5
rectangle12 car96 1, 6 2
rectangle13 car108 1, 10 17
rectangle14 car104 1, 6 0
rectangle15 car104 0, 6 12
rectangle16 car104 1, 7 2
rectangle17 car11 0, 2 6
rectangle18 car110 1, 10 10
rectangle19 car110 1, 0 4
rectangle20 car109 1, 10 8
rectangle21 car89 1, 6 0
rectangle22 car10 0, 14 2
rectangle23 car108 1, 15 12
rectangle24 car83 1, 0 9
rectangle25 car110 0, 5 0
rectangle26 car62 1, 0 2
rectangle27 car10 1, 8 3
rectangle28 car110 1, 11 14
rectangle29 car10 0, 11 7
rectangle30 car83 1, 4 0
rectangle31 car110 1, 0 5
rectangle32 car96 1, 17 5
rectangle33 car108 1, 7 9
rectangle34 car96 1, 0 15
rectangle35 car22 0, 5 8
rectangle36 car104 1, 1 0
rectangle37 car10 1, 10 6
rectangle38 car60 0, 4 7
rectangle39 car108 1, 4 5
rectangle40 car110 0, 7 2
rectangle41 car11 0, 2 1
rectangle42 car60 1, 0 3
rectangle43 car10 1, 2 6
rectangle44 car11 1, 5 10
rectangle45 car11 1, 6 0
rectangle46 car60 0, 7 6
rectangle47 car11 0, 0 11
rectangle48 car66 0, 0 0
rectangle49 car89 1, 0 5
rectangle50 car73 1, 3 5
rectangle51 car62 0, 10 0
rectangle52 car104 0, 4 3
rectangle53 car11 0, 4 11
rectangle54 car109 1, 0 0
rectangle55 car11 0, 10 7
rectangle56 car110 1, 7 6
rectangle57 car11 1, 10 9
rectangle58 car10 0, 0 5
rectangle59 car108 0, 5 10
rectangle60 car96 0, 13 0
rectangle61 car62 0, 1 10
rectangle62 car96 0, 8 0
rectangle63 car11 0, 14 11
rectangle64 car104 1, 10 9
rectangle65 car110 1, 5 1
rectangle66 car73 0, 7 5
rectangle67 car10 0, 5 5
rectangle68 car108 0, 11 6
rectangle69 car96 0, 2 13
rectangle70 car60 1, 5 6
rectangle71 car16 1, 2 2
rectangle72 car66 1, 1 5
rectangle73 car60 0, 7 0
rectangle74 car60 0, 0 7
rectangle75 car66 1, 0 4
rectangle76 car104 1, 5 8
rectangle77 car109 1, 5 12
rectangle78 car108 1, 11 9
rectangle79 car96 1, 2 2
rectangle80 car66 1, 0 6
rectangle81 car66 0, 1 10
rectangle82 car109 1, 0 3
rectangle83 car62 0, 5 3
rectangle84 car66 1, 4 4
rectangle85 car104 1, 15 3
rectangle86 car104 1, 5 6
