rectangle1 car8 0, 3 6
rectangle2 car17 0, 12 3
rectangle3 car27 1, 9 12
rectangle4 car27 1, 16 10
rectangle5 car27 1, 6 14
rectangle6 car17 0, 11 0
rectangle7 car8 1, 8 8
rectangle8 car27 0, 5 5
rectangle9 car27 0, 0 9
rectangle10 car17 1, 8 5
rectangle11 car28 0, 0 0
rectangle12 car28 0, 10 9
rectangle13 car8 1, 9 4
rectangle14 car8 1, 4 0
rectangle15 car8 1, 9 7
rectangle16 car6 1, 6 0
rectangle17 car6 1, 7 3
rectangle18 car27 1, 13 13
rectangle19 car6 0, 3 3
rectangle20 car27 1, 5 10
rectangle21 car27 1, 0 14
rectangle22 car8 1, 8 0
rectangle23 car28 1, 14 8
rectangle24 car8 0, 0 3
rectangle25 car27 0, 0 0
rectangle26 car8 0, 4 10
rectangle27 car28 0, 12 0
rectangle28 car8 0, 0 0
rectangle29 car6 0, 0 0
rectangle30 car28 0, 1 4
rectangle31 car8 1, 9 0
rectangle32 car8 1, 14 4
rectangle33 car27 0, 1 0
rectangle34 car17 0, 2 0
rectangle35 car6 1, 3 0
rectangle36 car27 1, 5 12
rectangle37 car8 0, 4 1
rectangle38 car8 0, 11 7
rectangle39 car27 0, 8 14
rectangle40 car27 1, 12 10
rectangle41 car28 0, 2 9
rectangle42 car8 1, 0 5
rectangle43 car8 1, 8 5
rectangle44 car28 1, 5 2
rectangle45 car27 0, 0 5
rectangle46 car27 1, 3 0
rectangle47 car6 1, 0 1
rectangle48 car17 0, 0 4
rectangle49 car8 1, 0 10
rectangle50 car27 0, 10 10
rectangle51 car8 0, 5 8
rectangle52 car27 1, 1 14
rectangle53 car27 1, 8 6
rectangle54 car28 0, 13 0
rectangle55 car27 0, 6 6
rectangle56 car27 1, 13 0
rectangle57 car8 1, 10 9
rectangle58 car27 0, 0 10
rectangle59 car27 1, 8 0
rectangle60 car28 0, 10 8
rectangle61 car28 1, 0 6
rectangle62 car8 0, 3 8
rectangle63 car27 1, 13 5
rectangle64 car27 1, 6 5
rectangle65 car28 0, 6 2
rectangle66 car28 0, 11 4
rectangle67 car17 0, 0 0
rectangle68 car28 0, 6 11
rectangle69 car28 0, 10 0
rectangle70 car28 1, 0 9
rectangle71 car6 0, 6 2
rectangle72 car28 0, 10 11
rectangle73 car8 0, 9 1
rectangle74 car28 0, 1 12
rectangle75 car17 0, 8 2
rectangle76 car6 0, 0 2
rectangle77 car28 1, 9 3
rectangle78 car28 0, 11 6
rectangle79 car28 1, 3 0
rectangle80 car28 0, 11 0
rectangle81 car8 1, 11 0
rectangle82 car17 1, 6 2
rectangle83 car27 1, 9 5
rectangle84 car27 0, 0 3
rectangle85 car17 1, 1 2
rectangle86 car28 0, 5 0
rectangle87 car28 1, 5 7
rectangle88 car17 1, 7 0
rectangle89 car28 1, 0 11
rectangle90 car8 0, 9 10
