rectangle1 car140 1, 9 10
rectangle2 car140 0, 21 0
rectangle3 car140 0, 10 9
rectangle4 car55 1, 1 2
rectangle5 car141 1, 7 0
rectangle6 car120 0, 5 9
rectangle7 car137 1, 0 4
rectangle8 car141 1, 12 13
rectangle9 car140 0, 17 5
rectangle10 car141 0, 13 20
rectangle11 car133 1, 4 0
rectangle12 car3 0, 4 4
rectangle13 car108 1, 0 2
rectangle14 car133 1, 0 16
rectangle15 car141 1, 15 0
rectangle16 car140 0, 0 21
rectangle17 car135 0, 7 12
rectangle18 car154 1, 16 10
rectangle19 car99 1, 0 11
rectangle20 car133 0, 8 1
rectangle21 car154 0, 7 16
rectangle22 car136 1, 10 9
rectangle23 car146 0, 1 16
rectangle24 car135 0, 18 0
rectangle25 car146 1, 14 14
rectangle26 car121 0, 13 0
rectangle27 car146 1, 13 5
rectangle28 car104 1, 4 5
rectangle29 car140 1, 5 5
rectangle30 car136 1, 5 0
rectangle31 car56 1, 5 4
rectangle32 car134 1, 1 14
rectangle33 car146 1, 1 9
rectangle34 car3 1, 0 1
rectangle35 car16 1, 6 4
rectangle36 car13 0, 11 4
rectangle37 car13 1, 0 6
rectangle38 car154 1, 3 2
rectangle39 car136 1, 13 4
rectangle40 car146 1, 20 9
rectangle41 car10 1, 4 1
rectangle42 car56 1, 2 0
rectangle43 car16 1, 0 3
rectangle44 car13 1, 6 5
rectangle45 car141 1, 2 16
rectangle46 car141 1, 8 8
rectangle47 car57 0, 0 7
rectangle48 car140 0, 17 19
rectangle49 car57 0, 0 5
rectangle50 car120 1, 0 0
rectangle51 car121 1, 0 5
rectangle52 car135 0, 12 9
rectangle53 car104 1, 0 0
rectangle54 car154 0, 4 14
rectangle55 car57 1, 13 4
rectangle56 car133 1, 5 9
rectangle57 car136 1, 4 4
rectangle58 car136 1, 10 4
rectangle59 car137 1, 9 3
rectangle60 car148 1, 0 9
rectangle61 car154 1, 0 6
rectangle62 car24 1, 0 3
rectangle63 car135 1, 21 8
rectangle64 car146 1, 6 8
rectangle65 car57 1, 12 10
rectangle66 car120 1, 1 4
rectangle67 car141 1, 9 16
rectangle68 car16 0, 5 2
rectangle69 car154 1, 15 8
rectangle70 car135 1, 16 8
rectangle71 car15 0, 1 3
rectangle72 car136 0, 5 12
rectangle73 car146 1, 1 1
rectangle74 car135 1, 0 16
rectangle75 car10 0, 0 1
rectangle76 car133 0, 0 8
rectangle77 car57 1, 4 4
rectangle78 car3 1, 0 10
rectangle79 car154 0, 0 8
rectangle80 car154 1, 9 5
rectangle81 car120 1, 0 10
rectangle82 car120 1, 1 9
rectangle83 car141 1, 13 16
rectangle84 car146 0, 2 0
rectangle85 car154 0, 18 1
rectangle86 car57 0, 3 10
rectangle87 car57 1, 8 8
rectangle88 car146 0, 4 5
rectangle89 car140 1, 7 7
rectangle90 car146 1, 17 0
rectangle91 car136 1, 2 2
rectangle92 car154 1, 12 0
rectangle93 car136 1, 5 8
rectangle94 car121 0, 6 5
rectangle95 car136 0, 0 17
rectangle96 car133 1, 4 10
rectangle97 car121 0, 1 5
rectangle98 car141 0, 2 10
rectangle99 car154 1, 2 10
rectangle100 car141 1, 6 18
rectangle101 car146 1, 10 14
rectangle102 car136 0, 3 7
rectangle103 car148 1, 2 0
rectangle104 car146 1, 12 0
rectangle105 car23 1, 5 3
rectangle106 car121 0, 3 5
rectangle107 car19 1, 7 10
rectangle108 car141 1, 3 3
rectangle109 car136 0, 5 14
rectangle110 car138 1, 0 6
rectangle111 car121 0, 11 2
rectangle112 car3 1, 3 0
rectangle113 car154 1, 14 2
rectangle114 car120 0, 4 3
rectangle115 car146 1, 4 16
rectangle116 car146 0, 1 14
rectangle117 car141 1, 9 4
rectangle118 car133 0, 1 16
rectangle119 car146 0, 1 4
rectangle120 car140 1, 0 9
rectangle121 car4 1, 4 1
rectangle122 car154 1, 14 5
rectangle123 car141 1, 5 14
rectangle124 car148 1, 2 10
rectangle125 car134 1, 9 3
rectangle126 car154 0, 6 0
rectangle127 car146 1, 12 3
rectangle128 car148 0, 0 2
rectangle129 car154 1, 2 5
rectangle130 car141 0, 9 0
rectangle131 car121 1, 6 4
rectangle132 car146 0, 18 13
rectangle133 car154 1, 7 0
rectangle134 car120 1, 7 0
rectangle135 car135 1, 7 0
rectangle136 car99 1, 7 5
rectangle137 car57 1, 1 5
rectangle138 car57 0, 9 4
rectangle139 car57 0, 2 3
rectangle140 car140 1, 5 14
rectangle141 car112 1, 2 5
rectangle142 car104 1, 9 4
rectangle143 car57 0, 10 0
rectangle144 car137 1, 0 3
rectangle145 car135 0, 1 2
rectangle146 car13 1, 1 4
rectangle147 car23 1, 8 4
rectangle148 car112 1, 1 0
rectangle149 car134 1, 4 15
rectangle150 car10 0, 4 0
rectangle151 car133 0, 0 3
rectangle152 car134 0, 3 6
rectangle153 car57 0, 0 0
rectangle154 car148 1, 1 6
rectangle155 car136 1, 0 5
rectangle156 car104 0, 7 0
rectangle157 car99 1, 0 2
rectangle158 car4 1, 9 2
rectangle159 car134 1, 4 10
rectangle160 car134 0, 0 6
rectangle161 car19 1, 4 0
rectangle162 car24 0, 0 0
rectangle163 car3 1, 1 4
rectangle164 car138 0, 7 0
rectangle165 car134 0, 13 10
