rectangle1 car145 1, 4 16
rectangle2 car30 0, 4 4
rectangle3 car167 1, 6 0
rectangle4 car17 1, 2 9
rectangle5 car50 1, 10 5
rectangle6 car13 1, 4 7
rectangle7 car119 1, 2 4
rectangle8 car82 0, 1 5
rectangle9 car50 1, 8 0
rectangle10 car77 1, 0 5
rectangle11 car160 1, 0 7
rectangle12 car30 0, 2 8
rectangle13 car20 0, 8 1
rectangle14 car162 0, 1 5
rectangle15 car156 1, 5 9
rectangle16 car138 1, 10 6
rectangle17 car61 0, 0 5
rectangle18 car41 1, 14 0
rectangle19 car135 1, 4 1
rectangle20 car143 1, 10 15
rectangle21 car135 1, 9 7
rectangle22 car135 1, 3 5
rectangle23 car160 1, 16 8
rectangle24 car147 1, 0 0
rectangle25 car119 0, 2 0
rectangle26 car75 1, 4 3
rectangle27 car159 1, 0 3
rectangle28 car140 1, 1 9
rectangle29 car41 1, 5 3
rectangle30 car138 1, 0 8
rectangle31 car143 1, 10 3
rectangle32 car156 1, 4 1
rectangle33 car12 1, 1 0
rectangle34 car148 1, 4 3
rectangle35 car143 1, 9 0
rectangle36 car162 0, 0 16
rectangle37 car156 1, 0 9
rectangle38 car42 0, 5 0
rectangle39 car160 1, 8 6
rectangle40 car151 1, 1 3
rectangle41 car151 1, 19 11
rectangle42 car167 1, 6 3
rectangle43 car119 1, 0 1
rectangle44 car13 1, 5 4
rectangle45 car13 1, 4 3
rectangle46 car70 1, 2 0
rectangle47 car13 1, 7 0
rectangle48 car160 0, 12 2
rectangle49 car148 0, 9 7
rectangle50 car152 0, 3 1
rectangle51 car51 1, 7 5
rectangle52 car158 1, 4 9
rectangle53 car14 1, 0 4
rectangle54 car17 1, 0 7
rectangle55 car50 1, 5 1
rectangle56 car160 0, 17 3
rectangle57 car151 1, 9 12
rectangle58 car166 1, 6 2
rectangle59 car162 1, 0 3
rectangle60 car82 1, 3 3
rectangle61 car140 1, 9 0
rectangle62 car115 0, 0 8
rectangle63 car61 1, 2 7
rectangle64 car156 1, 6 2
rectangle65 car74 1, 9 2
rectangle66 car156 1, 4 0
rectangle67 car158 0, 0 0
rectangle68 car138 1, 3 6
rectangle69 car128 1, 0 0
rectangle70 car115 0, 2 3
rectangle71 car135 1, 0 5
rectangle72 car19 1, 5 5
rectangle73 car106 1, 3 0
rectangle74 car14 1, 0 0
rectangle75 car96 1, 0 2
rectangle76 car11 1, 5 0
rectangle77 car153 1, 0 0
rectangle78 car143 1, 10 4
rectangle79 car147 0, 10 2
rectangle80 car153 0, 9 3
rectangle81 car151 1, 15 9
rectangle82 car153 1, 9 0
rectangle83 car151 0, 15 7
rectangle84 car151 0, 15 8
rectangle85 car151 1, 19 8
rectangle86 car164 0, 2 0
rectangle87 car151 1, 19 6
rectangle88 car147 0, 12 6
rectangle89 car147 0, 20 4
rectangle90 car153 1, 5 1
rectangle91 car147 1, 5 5
rectangle92 car147 1, 17 6
rectangle93 car160 1, 5 7
rectangle94 car147 0, 12 4
rectangle95 car153 0, 12 0
rectangle96 car147 1, 5 1
rectangle97 car143 0, 6 2
rectangle98 car146 1, 11 4
rectangle99 car143 1, 16 1
rectangle100 car71 0, 0 0
rectangle101 car143 1, 0 7
rectangle102 car114 1, 0 1
rectangle103 car143 1, 9 13
rectangle104 car143 0, 13 12
rectangle105 car143 0, 0 1
rectangle106 car160 1, 9 0
rectangle107 car12 1, 5 3
rectangle108 car143 0, 12 7
rectangle109 car41 1, 4 5
rectangle110 car160 1, 0 0
rectangle111 car77 0, 4 3
rectangle112 car49 1, 0 0
rectangle113 car89 0, 0 0
rectangle114 car142 1, 10 1
rectangle115 car32 0, 1 0
rectangle116 car26 1, 0 1
rectangle117 car153 1, 22 2
rectangle118 car152 1, 2 2
rectangle119 car146 1, 6 9
rectangle120 car6 1, 0 2
rectangle121 car45 1, 4 0
rectangle122 car68 0, 0 0
rectangle123 car151 0, 13 4
rectangle124 car147 1, 1 0
rectangle125 car96 1, 5 0
rectangle126 car135 1, 9 5
rectangle127 car61 1, 0 1
rectangle128 car8 1, 1 1
rectangle129 car82 1, 1 0
rectangle130 car128 0, 2 0
rectangle131 car140 0, 2 6
rectangle132 car138 1, 8 0
rectangle133 car71 1, 6 1
rectangle134 car51 1, 0 1
rectangle135 car167 0, 0 4
rectangle136 car152 0, 6 6
rectangle137 car25 1, 0 2
rectangle138 car147 1, 15 4
rectangle139 car156 1, 3 6
rectangle140 car145 1, 4 18
rectangle141 car19 0, 0 2
rectangle142 car2 1, 3 0
rectangle143 car128 1, 7 3
rectangle144 car8 1, 0 0
rectangle145 car50 1, 0 3
rectangle146 car66 1, 0 2
rectangle147 car75 1, 0 0
rectangle148 car162 0, 2 1
rectangle149 car143 1, 0 5
rectangle150 car145 0, 0 0
rectangle151 car167 1, 7 0
rectangle152 car4 1, 4 1
rectangle153 car144 0, 0 6
rectangle154 car106 1, 1 0
rectangle155 car140 0, 8 4
rectangle156 car156 1, 1 13
rectangle157 car160 1, 4 3
rectangle158 car146 0, 8 7
rectangle159 car144 1, 11 2
rectangle160 car55 0, 2 7
rectangle161 car82 1, 7 0
rectangle162 car143 0, 5 16
rectangle163 car143 1, 14 13
rectangle164 car160 1, 3 1
rectangle165 car106 1, 4 5
rectangle166 car147 1, 18 4
rectangle167 car156 1, 1 6
rectangle168 car145 1, 3 1
rectangle169 car138 1, 4 5
rectangle170 car14 0, 0 1
rectangle171 car166 1, 9 10
rectangle172 car138 0, 0 11
rectangle173 car143 0, 0 13
rectangle174 car30 1, 0 0
rectangle175 car40 0, 2 2
rectangle176 car138 1, 3 0
rectangle177 car13 1, 0 5
rectangle178 car151 0, 11 6
rectangle179 car11 0, 10 0
rectangle180 car118 0, 0 2
rectangle181 car146 0, 8 2
rectangle182 car144 0, 11 0
rectangle183 car13 0, 5 2
rectangle184 car5 0, 7 8
rectangle185 car5 1, 5 3
rectangle186 car77 0, 1 1
rectangle187 car13 1, 1 4
rectangle188 car144 0, 1 9
rectangle189 car92 0, 5 5
rectangle190 car151 1, 3 2
rectangle191 car16 1, 10 8
rectangle192 car156 1, 6 6
rectangle193 car5 1, 6 5
rectangle194 car17 1, 0 0
rectangle195 car11 1, 14 3
rectangle196 car142 0, 7 1
rectangle197 car143 0, 5 6
rectangle198 car47 1, 5 0
rectangle199 car142 1, 5 0
rectangle200 car75 1, 6 5
rectangle201 car12 0, 6 0
rectangle202 car164 0, 2 3
rectangle203 car138 1, 8 8
rectangle204 car24 1, 0 4
rectangle205 car4 0, 3 0
rectangle206 car5 0, 6 0
rectangle207 car2 0, 6 0
rectangle208 car115 0, 4 0
rectangle209 car152 1, 0 0
rectangle210 car72 0, 4 4
rectangle211 car145 0, 1 15
rectangle212 car167 0, 7 1
rectangle213 car151 0, 4 11
rectangle214 car78 0, 3 2
rectangle215 car128 1, 2 5
rectangle216 car144 1, 0 8
rectangle217 car128 1, 1 1
rectangle218 car11 1, 8 4
rectangle219 car51 1, 3 5
rectangle220 car41 1, 8 5
rectangle221 car32 0, 2 4
rectangle222 car72 0, 0 0
rectangle223 car145 1, 5 14
rectangle224 car114 0, 2 0
rectangle225 car143 1, 5 12
rectangle226 car143 1, 1 6
rectangle227 car49 1, 0 1
rectangle228 car153 1, 8 1
rectangle229 car20 1, 0 4
rectangle230 car14 1, 2 4
rectangle231 car152 0, 3 5
rectangle232 car14 0, 5 0
rectangle233 car156 1, 0 7
rectangle234 car102 0, 5 1
rectangle235 car145 0, 0 14
rectangle236 car25 1, 0 3
rectangle237 car89 1, 3 0
rectangle238 car145 1, 0 10
rectangle239 car144 1, 0 3
rectangle240 car5 1, 5 6
rectangle241 car153 1, 1 0
rectangle242 car75 1, 4 0
rectangle243 car153 0, 21 6
rectangle244 car145 1, 5 8
rectangle245 car115 1, 5 0
rectangle246 car13 1, 7 4
rectangle247 car147 1, 0 4
rectangle248 car146 1, 13 0
rectangle249 car152 1, 6 3
rectangle250 car153 1, 12 9
rectangle251 car92 1, 1 0
rectangle252 car78 1, 0 6
rectangle253 car140 1, 6 6
rectangle254 car75 0, 11 0
rectangle255 car164 1, 0 4
rectangle256 car147 1, 12 0
rectangle257 car47 1, 0 0
rectangle258 car16 1, 11 0
rectangle259 car50 1, 6 5
rectangle260 car25 1, 4 2
rectangle261 car92 1, 0 5
rectangle262 car146 1, 2 0
rectangle263 car167 1, 4 3
rectangle264 car106 1, 6 1
rectangle265 car156 0, 1 2
rectangle266 car142 1, 0 0
rectangle267 car25 1, 0 0
rectangle268 car75 0, 2 0
rectangle269 car158 0, 0 10
rectangle270 car2 1, 1 1
rectangle271 car159 0, 5 0
