rectangle1 car9 0, 0 5
rectangle2 car18 0, 0 5
rectangle3 car21 0, 15 0
rectangle4 car18 1, 12 2
rectangle5 car21 0, 5 0
rectangle6 car5 1, 2 0
rectangle7 car2 1, 7 0
rectangle8 car9 0, 0 0
rectangle9 car9 1, 6 6
rectangle10 car9 0, 0 2
rectangle11 car2 0, 3 0
rectangle12 car2 1, 1 5
rectangle13 car9 1, 2 9
rectangle14 car9 1, 3 2
rectangle15 car18 1, 0 0
rectangle16 car18 1, 0 10
rectangle17 car9 1, 3 4
rectangle18 car18 1, 2 5
rectangle19 car9 0, 7 4
rectangle20 car18 0, 10 3
rectangle21 car21 1, 15 4
rectangle22 car21 1, 0 0
rectangle23 car18 0, 6 0
rectangle24 car21 1, 2 1
rectangle25 car18 1, 12 10
rectangle26 car18 0, 8 0
rectangle27 car21 0, 0 3
rectangle28 car21 0, 0 1
rectangle29 car18 0, 10 8
rectangle30 car9 0, 6 0
rectangle31 car5 1, 0 0
rectangle32 car9 0, 0 9
rectangle33 car5 1, 0 3
rectangle34 car18 1, 14 7
rectangle35 car2 0, 0 0
rectangle36 car2 0, 5 5
rectangle37 car21 1, 13 2
rectangle38 car18 1, 12 7
rectangle39 car18 0, 5 10
rectangle40 car21 0, 7 1
rectangle41 car2 0, 0 5
rectangle42 car2 1, 9 5
rectangle43 car18 0, 7 5
rectangle44 car18 1, 3 0
rectangle45 car2 0, 1 9
rectangle46 car21 1, 13 1
rectangle47 car18 1, 6 10
rectangle48 car2 1, 7 5
rectangle49 car5 0, 1 7
rectangle50 car18 0, 5 4
rectangle51 car18 1, 12 9
rectangle52 car9 0, 3 6
rectangle53 car21 0, 10 0
rectangle54 car9 1, 3 0
rectangle55 car18 1, 4 5
rectangle56 car2 1, 5 8
rectangle57 car18 0, 12 0
rectangle58 car18 0, 0 3
rectangle59 car21 0, 10 5
rectangle60 car18 1, 11 10
