rectangle1 car2 1, 0 1
rectangle2 car5 0, 4 0
rectangle3 car2 1, 10 0
rectangle4 car5 1, 5 2
rectangle5 car5 0, 9 2
rectangle6 car7 1, 7 3
rectangle7 car5 1, 0 5
rectangle8 car7 1, 4 3
rectangle9 car5 1, 10 6
rectangle10 car5 0, 10 0
rectangle11 car2 1, 0 8
rectangle12 car7 0, 9 0
rectangle13 car2 1, 6 1
rectangle14 car2 0, 3 8
rectangle15 car2 0, 9 9
rectangle16 car7 1, 0 0
rectangle17 car7 1, 9 2
rectangle18 car7 1, 5 7
rectangle19 car5 1, 7 2
rectangle20 car7 1, 9 6
rectangle21 car7 0, 2 4
rectangle22 car7 1, 0 4
rectangle23 car2 0, 6 9
rectangle24 car2 1, 2 0
rectangle25 car5 1, 13 2
rectangle26 car5 1, 0 0
rectangle27 car7 1, 0 7
rectangle28 car2 1, 0 6
rectangle29 car7 0, 4 0
rectangle30 car2 0, 7 0
rectangle31 car2 0, 0 5
rectangle32 car5 1, 5 7
rectangle33 car5 0, 5 6
rectangle34 car2 1, 6 5
rectangle35 car5 0, 5 0
