rectangle1 car8 1, 11 5
rectangle2 car8 1, 6 5
rectangle3 car4 0, 5 7
rectangle4 car8 1, 4 1
rectangle5 car8 0, 12 0
rectangle6 car8 0, 10 0
rectangle7 car4 1, 3 5
rectangle8 car8 0, 4 5
rectangle9 car4 1, 6 3
rectangle10 car8 0, 0 0
rectangle11 car4 1, 0 8
rectangle12 car4 1, 3 0
rectangle13 car4 1, 6 0
rectangle14 car8 1, 5 0
rectangle15 car4 0, 1 0
rectangle16 car4 0, 0 5
rectangle17 car4 0, 0 0
rectangle18 car8 1, 16 7
rectangle19 car8 0, 0 5
rectangle20 car8 0, 16 2
rectangle21 car4 0, 1 2
