rectangle1 car3 0, 7 0
rectangle2 car6 1, 4 7
rectangle3 car6 1, 6 4
rectangle4 car3 1, 2 4
rectangle5 car3 1, 1 4
rectangle6 car3 0, 4 0
rectangle7 car3 1, 0 0
rectangle8 car6 0, 6 0
rectangle9 car6 1, 2 2
rectangle10 car6 0, 6 8
rectangle11 car7 0, 1 5
rectangle12 car6 0, 0 1
rectangle13 car3 0, 8 0
rectangle14 car7 1, 2 0
rectangle15 car6 1, 0 9
rectangle16 car6 1, 3 0
rectangle17 car6 1, 1 0
rectangle18 car6 1, 4 6
rectangle19 car3 0, 0 4
rectangle20 car3 1, 6 0
rectangle21 car6 1, 1 7
rectangle22 car6 0, 7 9
rectangle23 car7 1, 5 2
rectangle24 car6 0, 1 3
rectangle25 car6 0, 7 4
rectangle26 car7 0, 0 2
rectangle27 car7 1, 0 0
rectangle28 car3 0, 4 3
rectangle29 car6 0, 3 5
rectangle30 car6 1, 0 2
