rectangle1 car12 0, 0 0
rectangle2 car12 1, 0 3
rectangle3 car13 0, 0 0
rectangle4 car8 0, 6 5
rectangle5 car13 0, 0 16
rectangle6 car13 1, 7 3
rectangle7 car12 1, 6 22
rectangle8 car12 1, 5 18
rectangle9 car12 1, 4 1
rectangle10 car12 0, 8 12
rectangle11 car13 1, 7 0
rectangle12 car12 1, 6 3
rectangle13 car12 0, 0 10
rectangle14 car8 0, 11 5
rectangle15 car12 0, 5 12
rectangle16 car13 1, 5 0
rectangle17 car8 0, 0 1
rectangle18 car12 1, 5 13
rectangle19 car8 0, 1 6
rectangle20 car12 0, 5 20
rectangle21 car12 0, 4 6
rectangle22 car12 0, 5 0
rectangle23 car13 1, 6 8
rectangle24 car8 1, 8 0
rectangle25 car13 1, 9 8
rectangle26 car13 1, 10 13
rectangle27 car13 0, 3 5
rectangle28 car12 0, 0 15
rectangle29 car13 0, 2 8
rectangle30 car12 0, 5 8
rectangle31 car13 1, 11 17
rectangle32 car13 0, 12 2
rectangle33 car12 1, 0 5
rectangle34 car12 0, 0 20
rectangle35 car8 1, 5 0
rectangle36 car13 1, 0 4
rectangle37 car13 1, 0 8
rectangle38 car12 1, 0 1
rectangle39 car13 0, 5 13
rectangle40 car13 1, 0 11
