rectangle1 car9 0, 0 20
rectangle2 car9 1, 19 18
rectangle3 car9 1, 0 7
rectangle4 car9 1, 12 22
rectangle5 car9 1, 16 22
rectangle6 car9 1, 7 0
rectangle7 car9 0, 0 0
rectangle8 car9 0, 2 8
rectangle9 car9 1, 5 0
rectangle10 car9 1, 10 18
rectangle11 car9 1, 19 20
rectangle12 car9 1, 4 15
rectangle13 car9 0, 13 0
rectangle14 car9 1, 5 5
rectangle15 car9 1, 17 15
rectangle16 car9 1, 2 1
rectangle17 car9 1, 2 3
rectangle18 car9 0, 5 20
rectangle19 car9 1, 0 11
rectangle20 car9 1, 13 5
rectangle21 car9 0, 14 18
rectangle22 car9 0, 8 20
rectangle23 car9 1, 9 7
rectangle24 car9 1, 3 11
rectangle25 car9 0, 10 7
rectangle26 car9 1, 10 15
rectangle27 car9 1, 13 10
rectangle28 car9 0, 8 11
rectangle29 car9 1, 0 15
rectangle30 car9 0, 7 4
rectangle31 car9 0, 0 5
