rectangle1 car15 1, 8 4
rectangle2 car15 1, 0 20
rectangle3 car17 0, 8 4
rectangle4 car17 1, 5 1
rectangle5 car17 1, 0 3
rectangle6 car17 0, 20 2
rectangle7 car6 0, 6 0
rectangle8 car17 1, 5 0
rectangle9 car17 1, 1 0
rectangle10 car15 0, 0 7
rectangle11 car15 0, 0 9
rectangle12 car15 1, 3 1
rectangle13 car15 0, 4 11
rectangle14 car6 1, 1 0
rectangle15 car15 1, 4 20
rectangle16 car6 1, 1 10
rectangle17 car17 1, 7 0
rectangle18 car17 1, 12 0
rectangle19 car17 1, 15 0
rectangle20 car15 1, 0 0
rectangle21 car15 1, 8 11
rectangle22 car17 1, 2 3
rectangle23 car15 1, 0 1
rectangle24 car6 0, 6 2
rectangle25 car15 0, 8 14
rectangle26 car6 1, 2 10
rectangle27 car17 1, 13 1
rectangle28 car15 0, 4 4
rectangle29 car6 0, 0 0
rectangle30 car6 0, 4 5
rectangle31 car6 1, 4 10
rectangle32 car15 1, 5 0
rectangle33 car17 0, 0 0
rectangle34 car15 0, 4 2
rectangle35 car17 1, 8 0
rectangle36 car15 1, 0 19
rectangle37 car15 0, 6 9
rectangle38 car15 1, 0 14
rectangle39 car15 0, 0 5
rectangle40 car6 1, 0 12
rectangle41 car15 1, 4 16
rectangle42 car6 1, 1 5
rectangle43 car17 1, 15 5
rectangle44 car6 0, 0 7
rectangle45 car6 1, 0 2
