rectangle1 car50 1, 0 0
rectangle2 car1 1, 1 5
rectangle3 car20 0, 7 0
rectangle4 car50 0, 14 5
rectangle5 car1 1, 0 0
rectangle6 car20 1, 4 4
rectangle7 car19 1, 7 4
rectangle8 car26 0, 0 6
rectangle9 car20 1, 9 2
rectangle10 car1 1, 7 1
rectangle11 car45 0, 3 7
rectangle12 car20 1, 7 1
rectangle13 car49 0, 17 0
rectangle14 car53 0, 10 6
rectangle15 car37 0, 0 10
rectangle16 car49 1, 13 1
rectangle17 car37 1, 4 10
rectangle18 car50 0, 4 0
rectangle19 car20 1, 4 12
rectangle20 car50 0, 19 0
rectangle21 car20 1, 10 11
rectangle22 car45 1, 0 7
rectangle23 car19 1, 4 0
rectangle24 car20 1, 1 12
rectangle25 car20 1, 0 5
rectangle26 car53 1, 10 1
rectangle27 car45 1, 1 10
rectangle28 car20 0, 10 6
rectangle29 car45 1, 4 0
rectangle30 car53 0, 6 9
rectangle31 car53 0, 5 1
rectangle32 car45 0, 1 11
rectangle33 car53 1, 0 10
rectangle34 car20 1, 12 10
rectangle35 car53 0, 18 1
rectangle36 car37 0, 6 10
rectangle37 car53 0, 0 6
rectangle38 car26 0, 0 11
rectangle39 car19 1, 3 5
rectangle40 car1 0, 2 0
rectangle41 car26 1, 0 0
rectangle42 car49 1, 13 0
rectangle43 car26 1, 3 10
rectangle44 car53 1, 14 10
rectangle45 car20 1, 5 11
rectangle46 car53 1, 9 0
rectangle47 car53 1, 5 0
rectangle48 car20 0, 8 11
rectangle49 car19 1, 5 5
rectangle50 car53 1, 5 5
rectangle51 car37 1, 4 5
rectangle52 car5 0, 6 0
rectangle53 car45 0, 0 9
rectangle54 car1 0, 2 4
rectangle55 car53 1, 4 2
rectangle56 car53 0, 8 9
rectangle57 car20 0, 4 0
rectangle58 car1 1, 0 5
rectangle59 car50 0, 18 3
rectangle60 car49 1, 9 0
rectangle61 car19 1, 1 11
rectangle62 car1 1, 6 4
rectangle63 car43 1, 5 4
rectangle64 car20 0, 1 14
rectangle65 car19 0, 10 0
rectangle66 car50 1, 9 4
rectangle67 car43 1, 3 3
rectangle68 car5 0, 7 1
rectangle69 car50 1, 17 0
rectangle70 car50 0, 10 4
rectangle71 car43 1, 6 0
rectangle72 car19 0, 3 13
rectangle73 car37 0, 7 5
rectangle74 car53 1, 6 5
rectangle75 car5 1, 2 1
rectangle76 car5 1, 0 1
rectangle77 car19 0, 0 10
rectangle78 car53 1, 0 0
rectangle79 car16 0, 0 0
rectangle80 car20 1, 0 1
rectangle81 car16 0, 0 3
rectangle82 car19 0, 8 0
rectangle83 car53 0, 18 7
rectangle84 car20 1, 12 6
rectangle85 car5 1, 5 6
rectangle86 car49 0, 4 0
rectangle87 car20 0, 0 12
rectangle88 car53 0, 14 0
rectangle89 car20 1, 5 6
rectangle90 car53 1, 14 5
rectangle91 car53 1, 10 5
rectangle92 car37 0, 0 0
rectangle93 car19 1, 0 0
rectangle94 car20 1, 10 0
rectangle95 car43 1, 4 2
rectangle96 car45 1, 0 0
rectangle97 car43 0, 0 2
rectangle98 car43 1, 0 4
rectangle99 car50 0, 13 5
rectangle100 car20 1, 0 0
rectangle101 car20 1, 5 4
rectangle102 car1 1, 7 0
rectangle103 car53 0, 5 8
rectangle104 car16 1, 3 0
rectangle105 car43 1, 0 0
rectangle106 car26 0, 5 0
rectangle107 car19 0, 3 8
rectangle108 car19 0, 7 11
rectangle109 car16 0, 3 4
rectangle110 car50 1, 5 6
rectangle111 car5 0, 2 3
rectangle112 car19 1, 7 9
rectangle113 car49 1, 1 0
rectangle114 car37 0, 0 6
rectangle115 car19 1, 0 7
rectangle116 car19 0, 0 4
rectangle117 car19 0, 2 6
rectangle118 car37 1, 0 1
rectangle119 car49 0, 0 0
rectangle120 car19 1, 6 0
rectangle121 car1 1, 2 1
rectangle122 car1 1, 2 5
rectangle123 car26 0, 3 5
rectangle124 car5 1, 8 5
rectangle125 car5 0, 6 3
rectangle126 car53 0, 20 7
rectangle127 car53 1, 18 3
rectangle128 car50 0, 9 0
rectangle129 car50 0, 17 3
rectangle130 car45 0, 0 4
rectangle131 car53 0, 20 10
rectangle132 car5 1, 7 5
rectangle133 car45 0, 0 13
rectangle134 car16 0, 1 7
rectangle135 car53 0, 0 2
rectangle136 car5 0, 1 0
rectangle137 car49 1, 16 2
rectangle138 car50 1, 21 0
rectangle139 car37 0, 6 1
rectangle140 car53 1, 4 0
rectangle141 car50 0, 13 0
rectangle142 car53 0, 12 6
rectangle143 car50 0, 19 2
rectangle144 car50 1, 5 1
rectangle145 car50 1, 0 3
rectangle146 car37 1, 4 0
rectangle147 car53 0, 18 0
rectangle148 car20 1, 0 8
rectangle149 car20 0, 9 0
rectangle150 car5 1, 0 6
