rectangle1 car45 1, 1 4
rectangle2 car78 0, 9 0
rectangle3 car20 1, 3 7
rectangle4 car82 1, 5 16
rectangle5 car45 1, 8 2
rectangle6 car87 1, 1 1
rectangle7 car20 0, 0 8
rectangle8 car86 0, 4 13
rectangle9 car66 0, 7 15
rectangle10 car47 0, 0 0
rectangle11 car87 0, 10 6
rectangle12 car85 1, 0 4
rectangle13 car83 0, 4 20
rectangle14 car78 1, 9 5
rectangle15 car3 0, 5 10
rectangle16 car20 1, 5 0
rectangle17 car36 1, 4 5
rectangle18 car90 1, 3 15
rectangle19 car87 1, 10 1
rectangle20 car20 1, 5 5
rectangle21 car83 1, 5 10
rectangle22 car87 1, 17 6
rectangle23 car20 1, 4 7
rectangle24 car66 0, 8 9
rectangle25 car3 0, 5 0
rectangle26 car23 0, 8 4
rectangle27 car85 1, 2 9
rectangle28 car3 1, 9 5
rectangle29 car3 1, 0 2
rectangle30 car90 1, 0 1
rectangle31 car82 1, 6 0
rectangle32 car85 1, 6 6
rectangle33 car86 1, 4 9
rectangle34 car23 1, 0 7
rectangle35 car23 1, 5 0
rectangle36 car66 1, 0 13
rectangle37 car83 1, 0 15
rectangle38 car82 0, 5 4
rectangle39 car83 1, 10 1
rectangle40 car66 0, 11 0
rectangle41 car3 0, 0 7
rectangle42 car83 1, 7 16
rectangle43 car78 0, 0 7
rectangle44 car36 1, 5 11
rectangle45 car83 1, 5 21
rectangle46 car66 0, 0 0
rectangle47 car3 1, 4 0
rectangle48 car66 0, 4 13
rectangle49 car20 1, 5 10
rectangle50 car23 0, 0 0
rectangle51 car78 1, 5 4
rectangle52 car90 0, 12 5
rectangle53 car47 1, 2 2
rectangle54 car83 0, 7 20
rectangle55 car85 0, 10 6
rectangle56 car90 1, 0 19
rectangle57 car87 0, 5 2
rectangle58 car85 1, 0 11
rectangle59 car36 1, 7 6
rectangle60 car86 1, 9 18
rectangle61 car87 0, 7 6
rectangle62 car20 0, 0 4
rectangle63 car85 1, 14 13
rectangle64 car36 0, 11 8
rectangle65 car23 0, 0 8
rectangle66 car82 1, 0 10
rectangle67 car83 0, 17 19
rectangle68 car66 1, 10 0
rectangle69 car90 1, 0 6
rectangle70 car66 1, 6 5
rectangle71 car36 0, 9 8
rectangle72 car83 0, 0 10
rectangle73 car82 0, 1 0
rectangle74 car86 1, 6 8
rectangle75 car78 1, 4 13
rectangle76 car83 1, 5 5
rectangle77 car86 1, 6 2
rectangle78 car66 0, 4 2
rectangle79 car82 1, 5 11
rectangle80 car86 0, 6 3
rectangle81 car86 1, 0 0
rectangle82 car83 1, 14 5
rectangle83 car85 1, 1 6
rectangle84 car86 1, 10 3
rectangle85 car86 1, 3 10
rectangle86 car23 1, 1 9
rectangle87 car87 0, 15 6
rectangle88 car85 0, 10 11
rectangle89 car23 1, 4 0
rectangle90 car85 0, 2 14
rectangle91 car83 0, 1 5
rectangle92 car90 0, 4 6
rectangle93 car3 1, 8 5
rectangle94 car86 1, 0 12
rectangle95 car83 1, 2 13
rectangle96 car23 1, 4 5
rectangle97 car20 1, 0 9
rectangle98 car47 0, 1 1
rectangle99 car85 1, 14 4
rectangle100 car36 0, 3 8
rectangle101 car87 0, 8 4
rectangle102 car23 0, 2 1
rectangle103 car90 1, 8 14
rectangle104 car87 1, 2 0
