rectangle1 car16 0, 11 4
rectangle2 car18 0, 4 1
rectangle3 car10 1, 0 2
rectangle4 car16 0, 6 6
rectangle5 car16 1, 1 5
rectangle6 car18 0, 0 5
rectangle7 car16 0, 6 0
rectangle8 car16 1, 0 0
rectangle9 car18 0, 10 14
rectangle10 car18 0, 11 17
rectangle11 car10 0, 3 0
rectangle12 car18 0, 8 17
rectangle13 car18 0, 0 10
rectangle14 car18 0, 6 12
rectangle15 car16 0, 1 8
rectangle16 car16 1, 8 5
rectangle17 car18 1, 0 17
rectangle18 car18 0, 13 0
rectangle19 car18 0, 11 7
rectangle20 car18 0, 14 3
rectangle21 car18 0, 8 0
rectangle22 car18 1, 6 7
rectangle23 car18 0, 3 3
rectangle24 car18 1, 0 11
rectangle25 car10 0, 4 3
rectangle26 car18 1, 1 15
rectangle27 car16 0, 3 0
rectangle28 car18 0, 1 11
rectangle29 car18 1, 2 0
rectangle30 car18 1, 0 0
rectangle31 car18 0, 8 3
rectangle32 car18 0, 5 15
rectangle33 car16 1, 11 0
rectangle34 car16 0, 0 5
rectangle35 car18 0, 9 12
rectangle36 car10 0, 5 0
rectangle37 car18 1, 11 0
rectangle38 car18 0, 13 13
rectangle39 car18 1, 3 0
rectangle40 car18 0, 5 0
rectangle41 car18 0, 6 17
rectangle42 car16 1, 11 1
rectangle43 car18 0, 9 3
rectangle44 car18 0, 1 17
rectangle45 car18 0, 11 10
rectangle46 car10 1, 0 0
rectangle47 car18 0, 2 6
rectangle48 car18 1, 7 17
