rectangle1 car110 0, 0 3
rectangle2 car56 0, 7 0
rectangle3 car110 1, 12 0
rectangle4 car109 0, 9 0
rectangle5 car103 1, 12 6
rectangle6 car18 1, 0 7
rectangle7 car103 0, 6 1
rectangle8 car109 0, 12 3
rectangle9 car53 1, 0 0
rectangle10 car102 1, 0 17
rectangle11 car56 0, 2 8
rectangle12 car18 0, 1 2
rectangle13 car111 1, 7 2
rectangle14 car102 1, 0 13
rectangle15 car109 0, 20 1
rectangle16 car112 0, 14 12
rectangle17 car8 1, 8 11
rectangle18 car109 0, 7 15
rectangle19 car110 0, 22 7
rectangle20 car56 0, 6 9
rectangle21 car18 1, 4 10
rectangle22 car103 1, 15 16
rectangle23 car52 0, 0 5
rectangle24 car111 0, 1 20
rectangle25 car8 0, 9 0
rectangle26 car109 1, 2 2
rectangle27 car25 1, 0 0
rectangle28 car103 1, 0 9
rectangle29 car25 0, 7 8
rectangle30 car22 1, 6 4
rectangle31 car53 1, 5 6
rectangle32 car8 0, 2 14
rectangle33 car111 1, 7 15
rectangle34 car52 0, 2 10
rectangle35 car22 1, 5 4
rectangle36 car25 1, 3 11
rectangle37 car25 1, 5 8
rectangle38 car102 1, 3 19
rectangle39 car109 0, 17 9
rectangle40 car18 1, 3 10
rectangle41 car112 1, 15 0
rectangle42 car56 0, 11 12
rectangle43 car103 1, 19 14
rectangle44 car56 0, 8 5
rectangle45 car56 0, 6 5
rectangle46 car8 1, 1 6
rectangle47 car25 1, 7 9
rectangle48 car111 1, 0 0
rectangle49 car8 1, 2 5
rectangle50 car112 0, 17 7
rectangle51 car110 1, 2 0
rectangle52 car102 1, 0 19
rectangle53 car52 0, 0 3
rectangle54 car22 0, 5 6
rectangle55 car52 0, 4 0
rectangle56 car56 0, 5 0
rectangle57 car56 1, 7 1
rectangle58 car52 1, 1 4
rectangle59 car112 1, 3 2
rectangle60 car52 1, 5 3
rectangle61 car53 0, 3 7
rectangle62 car52 0, 4 11
rectangle63 car8 0, 9 5
rectangle64 car8 0, 0 5
rectangle65 car103 0, 20 0
rectangle66 car112 1, 6 12
rectangle67 car24 1, 0 0
rectangle68 car112 0, 6 0
rectangle69 car52 0, 5 8
rectangle70 car110 0, 0 13
rectangle71 car112 1, 1 13
rectangle72 car22 1, 5 0
rectangle73 car52 0, 9 0
rectangle74 car70 1, 5 5
rectangle75 car109 0, 10 0
rectangle76 car109 0, 13 0
rectangle77 car112 1, 9 8
rectangle78 car103 1, 10 10
rectangle79 car8 0, 6 12
rectangle80 car102 1, 4 12
rectangle81 car111 0, 2 19
rectangle82 car110 1, 8 1
rectangle83 car22 0, 0 0
rectangle84 car103 1, 6 0
rectangle85 car18 0, 9 5
rectangle86 car22 0, 4 1
rectangle87 car53 0, 2 8
rectangle88 car24 1, 8 7
rectangle89 car112 0, 14 7
rectangle90 car18 1, 2 3
rectangle91 car18 0, 0 3
rectangle92 car24 1, 1 1
rectangle93 car18 1, 5 0
rectangle94 car8 0, 5 0
rectangle95 car25 1, 5 0
rectangle96 car112 0, 7 7
rectangle97 car112 0, 2 2
rectangle98 car103 1, 15 9
rectangle99 car110 0, 16 0
rectangle100 car111 1, 5 10
rectangle101 car110 0, 20 6
rectangle102 car70 0, 0 0
rectangle103 car112 1, 14 13
rectangle104 car8 0, 1 14
rectangle105 car112 0, 8 7
rectangle106 car25 1, 5 4
rectangle107 car109 1, 18 12
rectangle108 car110 1, 10 11
rectangle109 car111 0, 0 9
rectangle110 car24 0, 0 1
rectangle111 car111 0, 17 0
rectangle112 car109 0, 10 12
rectangle113 car110 1, 10 3
rectangle114 car111 0, 0 4
rectangle115 car109 0, 20 0
rectangle116 car8 0, 8 7
rectangle117 car8 0, 0 0
rectangle118 car70 0, 0 5
rectangle119 car25 0, 2 11
rectangle120 car111 1, 3 4
rectangle121 car109 0, 7 3
rectangle122 car109 1, 14 20
rectangle123 car110 0, 12 4
rectangle124 car109 0, 5 2
rectangle125 car25 0, 2 6
rectangle126 car111 0, 12 2
rectangle127 car110 1, 0 6
rectangle128 car109 0, 4 0
rectangle129 car53 1, 8 8
rectangle130 car103 0, 15 5
rectangle131 car53 0, 8 4
rectangle132 car22 1, 8 1
rectangle133 car109 1, 3 18
rectangle134 car109 1, 8 5
rectangle135 car109 0, 5 7
rectangle136 car109 0, 9 20
rectangle137 car25 0, 7 1
rectangle138 car109 0, 0 0
rectangle139 car112 1, 0 2
rectangle140 car24 1, 3 0
rectangle141 car22 1, 6 0
rectangle142 car56 1, 1 9
rectangle143 car111 0, 10 15
rectangle144 car111 0, 4 0
rectangle145 car8 1, 8 10
rectangle146 car111 0, 1 9
rectangle147 car111 0, 10 10
rectangle148 car110 0, 4 5
rectangle149 car110 1, 9 3
rectangle150 car8 1, 5 7
rectangle151 car111 0, 9 0
rectangle152 car110 0, 8 3
rectangle153 car25 0, 4 4
rectangle154 car110 0, 8 0
rectangle155 car8 0, 5 2
rectangle156 car103 0, 8 5
rectangle157 car110 0, 7 3
rectangle158 car8 0, 0 10
rectangle159 car56 0, 0 7
rectangle160 car110 0, 15 5
rectangle161 car112 0, 0 13
rectangle162 car24 1, 9 5
rectangle163 car102 0, 7 4
rectangle164 car102 1, 0 1
rectangle165 car110 1, 10 10
rectangle166 car24 0, 0 7
rectangle167 car8 0, 5 12
rectangle168 car109 1, 19 4
rectangle169 car18 1, 0 9
rectangle170 car8 1, 0 1
rectangle171 car103 0, 8 10
rectangle172 car8 0, 9 3
rectangle173 car103 1, 8 6
rectangle174 car112 0, 0 9
rectangle175 car53 1, 3 8
rectangle176 car111 1, 1 10
rectangle177 car22 1, 2 0
rectangle178 car112 0, 18 9
rectangle179 car52 0, 0 8
rectangle180 car18 0, 3 7
rectangle181 car110 0, 0 1
rectangle182 car25 1, 0 9
rectangle183 car18 0, 6 10
rectangle184 car70 0, 5 3
rectangle185 car102 1, 2 4
rectangle186 car111 0, 14 15
rectangle187 car109 0, 0 15
rectangle188 car103 1, 0 2
rectangle189 car111 1, 7 20
rectangle190 car103 0, 5 14
rectangle191 car103 1, 0 18
rectangle192 car56 1, 13 0
rectangle193 car111 0, 1 11
rectangle194 car103 0, 7 13
rectangle195 car112 0, 10 0
rectangle196 car112 0, 8 8
rectangle197 car18 0, 10 0
rectangle198 car24 0, 10 6
rectangle199 car102 1, 4 14
rectangle200 car56 0, 11 7
rectangle201 car111 1, 5 15
rectangle202 car103 1, 2 19
rectangle203 car56 1, 6 13
rectangle204 car22 0, 10 4
rectangle205 car111 1, 8 6
rectangle206 car111 1, 16 17
rectangle207 car111 1, 4 6
rectangle208 car102 0, 7 18
rectangle209 car111 0, 0 18
rectangle210 car111 0, 14 6
rectangle211 car102 0, 0 0
rectangle212 car25 0, 0 4
rectangle213 car109 1, 4 10
rectangle214 car18 1, 6 8
rectangle215 car56 0, 0 14
rectangle216 car112 1, 15 5
rectangle217 car112 0, 19 14
rectangle218 car112 1, 20 4
rectangle219 car103 1, 10 6
rectangle220 car24 1, 8 0
rectangle221 car102 0, 5 8
rectangle222 car111 1, 11 6
rectangle223 car56 0, 0 2
rectangle224 car112 0, 2 5
rectangle225 car112 1, 11 3
rectangle226 car24 1, 1 5
rectangle227 car112 0, 1 7
rectangle228 car102 0, 0 4
rectangle229 car109 0, 16 4
rectangle230 car112 1, 0 0
rectangle231 car112 1, 6 14
rectangle232 car103 0, 2 0
rectangle233 car53 0, 0 7
rectangle234 car103 0, 0 5
rectangle235 car103 0, 3 10
rectangle236 car56 1, 4 4
rectangle237 car110 1, 7 10
rectangle238 car24 1, 1 8
rectangle239 car24 1, 5 5
rectangle240 car22 1, 0 4
rectangle241 car56 0, 2 0
rectangle242 car53 1, 5 0
rectangle243 car111 1, 17 21
rectangle244 car25 1, 5 2
rectangle245 car111 0, 8 0
rectangle246 car102 1, 3 1
rectangle247 car103 0, 6 6
rectangle248 car56 1, 0 9
rectangle249 car103 1, 17 7
rectangle250 car102 0, 3 0
rectangle251 car112 1, 20 0
rectangle252 car110 1, 6 7
rectangle253 car112 0, 6 5
rectangle254 car70 0, 4 0
rectangle255 car103 1, 1 13
rectangle256 car56 1, 10 5
rectangle257 car53 1, 0 2
rectangle258 car102 0, 0 24
rectangle259 car103 0, 4 5
rectangle260 car53 0, 5 2
rectangle261 car109 0, 4 12
rectangle262 car56 1, 11 0
rectangle263 car103 0, 12 12
rectangle264 car103 1, 11 1
rectangle265 car103 1, 12 1
rectangle266 car103 1, 9 8
rectangle267 car111 0, 4 18
rectangle268 car102 1, 7 8
rectangle269 car109 1, 0 21
rectangle270 car111 1, 0 14
rectangle271 car110 1, 23 5
rectangle272 car103 1, 19 3
rectangle273 car109 0, 0 5
rectangle274 car112 1, 0 11
rectangle275 car112 0, 3 0
rectangle276 car112 0, 2 3
rectangle277 car103 1, 0 0
rectangle278 car110 0, 21 3
rectangle279 car109 0, 2 6
rectangle280 car109 0, 3 15
rectangle281 car103 0, 17 0
rectangle282 car111 0, 2 18
rectangle283 car56 0, 3 10
rectangle284 car18 1, 7 10
rectangle285 car111 0, 11 15
rectangle286 car109 1, 0 10
rectangle287 car18 0, 2 0
rectangle288 car102 1, 2 24
rectangle289 car109 1, 16 0
rectangle290 car109 0, 10 2
rectangle291 car109 0, 5 3
rectangle292 car103 1, 8 0
rectangle293 car112 1, 9 13
rectangle294 car103 0, 12 14
rectangle295 car102 0, 3 3
rectangle296 car111 1, 5 19
rectangle297 car109 0, 4 6
rectangle298 car111 1, 14 10
rectangle299 car109 1, 13 5
rectangle300 car102 1, 7 24
rectangle301 car56 0, 2 10
rectangle302 car103 1, 7 14
rectangle303 car109 0, 12 7
rectangle304 car22 1, 7 0
rectangle305 car111 1, 4 1
rectangle306 car110 1, 8 5
rectangle307 car110 1, 11 7
rectangle308 car109 0, 9 7
rectangle309 car102 1, 0 8
rectangle310 car102 1, 0 3
rectangle311 car103 0, 16 12
rectangle312 car111 1, 16 5
rectangle313 car112 1, 7 2
rectangle314 car56 0, 5 8
rectangle315 car102 0, 4 8
rectangle316 car103 1, 20 10
rectangle317 car103 1, 19 5
rectangle318 car110 0, 18 0
rectangle319 car109 0, 16 9
rectangle320 car110 1, 17 4
rectangle321 car111 1, 13 17
rectangle322 car112 1, 17 9
rectangle323 car109 0, 0 19
rectangle324 car110 1, 12 12
rectangle325 car110 1, 8 12
rectangle326 car110 1, 4 10
rectangle327 car110 0, 24 11
rectangle328 car109 1, 18 19
rectangle329 car103 1, 13 14
rectangle330 car109 0, 17 12
rectangle331 car111 1, 17 17
