rectangle1 car8 1, 2 10
rectangle2 car8 0, 10 0
rectangle3 car8 1, 0 10
rectangle4 car16 1, 9 0
rectangle5 car16 1, 0 8
rectangle6 car16 1, 16 4
rectangle7 car8 0, 1 3
rectangle8 car8 0, 0 6
rectangle9 car9 0, 5 5
rectangle10 car8 0, 1 0
rectangle11 car9 0, 5 0
rectangle12 car16 0, 9 4
rectangle13 car16 0, 20 5
rectangle14 car8 0, 2 12
rectangle15 car8 0, 2 5
rectangle16 car16 1, 16 6
rectangle17 car8 1, 6 0
rectangle18 car8 0, 7 8
rectangle19 car8 0, 8 0
rectangle20 car9 1, 0 6
rectangle21 car9 1, 0 4
rectangle22 car16 1, 8 6
rectangle23 car16 0, 0 4
rectangle24 car16 0, 21 6
rectangle25 car16 0, 0 0
rectangle26 car8 1, 6 7
rectangle27 car8 1, 8 1
rectangle28 car16 0, 3 0
rectangle29 car8 1, 1 1
rectangle30 car8 1, 0 5
rectangle31 car8 0, 6 3
rectangle32 car8 1, 12 11
rectangle33 car8 1, 7 13
rectangle34 car16 0, 16 3
rectangle35 car8 0, 11 0
rectangle36 car16 0, 8 0
rectangle37 car16 0, 13 2
rectangle38 car16 1, 7 5
rectangle39 car9 0, 0 8
rectangle40 car9 1, 0 0
rectangle41 car16 0, 13 6
rectangle42 car16 0, 21 8
rectangle43 car8 0, 11 5
rectangle44 car16 1, 2 6
rectangle45 car8 1, 8 4
rectangle46 car16 0, 5 9
rectangle47 car8 1, 5 5
rectangle48 car8 1, 12 7
rectangle49 car8 1, 4 10
rectangle50 car16 0, 13 0
rectangle51 car16 1, 20 0
