rectangle1 car11 1, 7 5
rectangle2 car3 0, 4 6
rectangle3 car11 0, 10 6
rectangle4 car11 1, 8 13
rectangle5 car11 0, 4 5
rectangle6 car11 1, 9 14
rectangle7 car11 1, 9 9
rectangle8 car11 1, 5 16
rectangle9 car11 0, 8 1
rectangle10 car11 0, 4 12
rectangle11 car3 1, 4 1
rectangle12 car11 1, 9 13
rectangle13 car11 0, 4 10
rectangle14 car3 0, 0 4
rectangle15 car11 1, 4 11
rectangle16 car11 0, 11 10
rectangle17 car11 0, 10 8
rectangle18 car11 0, 0 5
rectangle19 car11 1, 5 0
rectangle20 car3 0, 5 1
rectangle21 car11 1, 5 13
rectangle22 car11 0, 0 17
rectangle23 car11 1, 9 5
rectangle24 car11 0, 9 7
rectangle25 car11 1, 4 9
rectangle26 car11 0, 0 0
rectangle27 car11 1, 3 18
rectangle28 car11 0, 8 18
rectangle29 car11 1, 9 0
rectangle30 car3 0, 0 0
rectangle31 car3 1, 0 6
rectangle32 car11 0, 0 9
rectangle33 car11 1, 4 6
rectangle34 car11 0, 0 12
