rectangle1 car15 0, 0 8
rectangle2 car5 1, 1 10
rectangle3 car15 1, 4 6
rectangle4 car15 0, 9 0
rectangle5 car5 0, 4 0
rectangle6 car4 1, 3 9
rectangle7 car4 0, 7 4
rectangle8 car5 0, 0 12
rectangle9 car15 1, 2 11
rectangle10 car15 0, 4 0
rectangle11 car4 1, 5 4
rectangle12 car5 1, 0 0
rectangle13 car15 1, 4 10
rectangle14 car5 1, 8 13
rectangle15 car5 0, 8 11
rectangle16 car5 1, 0 5
rectangle17 car5 1, 4 1
rectangle18 car5 1, 0 8
rectangle19 car6 0, 2 0
rectangle20 car5 1, 5 1
rectangle21 car5 1, 6 0
rectangle22 car15 0, 4 1
rectangle23 car4 0, 5 0
rectangle24 car4 1, 0 0
rectangle25 car5 1, 5 6
rectangle26 car5 1, 5 5
rectangle27 car15 1, 11 1
rectangle28 car15 0, 7 10
rectangle29 car5 1, 4 8
rectangle30 car4 1, 0 6
rectangle31 car15 0, 6 12
rectangle32 car15 0, 2 12
rectangle33 car4 0, 5 8
rectangle34 car15 0, 9 8
rectangle35 car5 0, 9 5
rectangle36 car15 0, 9 2
rectangle37 car4 0, 0 9
rectangle38 car15 0, 9 6
rectangle39 car6 0, 6 0
rectangle40 car15 1, 10 2
rectangle41 car15 1, 0 3
rectangle42 car15 0, 0 0
rectangle43 car15 0, 8 1
rectangle44 car15 1, 11 10
rectangle45 car5 1, 4 11
rectangle46 car4 1, 0 7
rectangle47 car15 1, 0 11
