rectangle1 car1 0, 13 0
rectangle2 car12 1, 0 0
rectangle3 car1 0, 8 0
rectangle4 car12 0, 4 11
rectangle5 car1 0, 0 6
rectangle6 car12 0, 2 2
rectangle7 car12 1, 3 16
rectangle8 car2 0, 0 5
rectangle9 car12 1, 1 12
rectangle10 car12 0, 2 15
rectangle11 car1 1, 5 8
rectangle12 car1 1, 17 5
rectangle13 car1 0, 0 0
rectangle14 car12 1, 0 4
rectangle15 car11 0, 5 9
rectangle16 car1 0, 3 4
rectangle17 car2 1, 0 0
rectangle18 car11 0, 0 5
rectangle19 car12 1, 0 12
rectangle20 car12 0, 0 15
rectangle21 car1 1, 0 4
rectangle22 car2 1, 5 6
rectangle23 car1 1, 10 7
rectangle24 car1 0, 12 5
rectangle25 car12 1, 0 16
rectangle26 car12 0, 0 8
rectangle27 car11 1, 7 0
rectangle28 car12 0, 2 7
rectangle29 car12 0, 2 0
rectangle30 car1 1, 8 5
rectangle31 car11 0, 5 0
rectangle32 car1 0, 3 0
rectangle33 car2 0, 5 0
rectangle34 car1 0, 17 6
rectangle35 car1 0, 7 4
rectangle36 car2 1, 4 0
rectangle37 car11 0, 5 4
rectangle38 car2 0, 6 0
rectangle39 car11 0, 0 0
rectangle40 car11 1, 3 5
rectangle41 car11 0, 0 9
rectangle42 car11 0, 2 5
