rectangle1 car14 0, 7 15
rectangle2 car14 1, 12 7
rectangle3 car14 0, 6 10
rectangle4 car14 0, 4 5
rectangle5 car14 1, 2 6
rectangle6 car14 1, 3 7
rectangle7 car14 1, 13 15
rectangle8 car14 1, 11 7
rectangle9 car14 1, 0 1
rectangle10 car14 1, 0 14
rectangle11 car14 1, 0 2
rectangle12 car14 1, 18 4
rectangle13 car14 1, 4 13
rectangle14 car14 1, 0 16
rectangle15 car14 0, 10 10
rectangle16 car14 1, 0 6
rectangle17 car14 1, 14 4
rectangle18 car14 1, 3 10
rectangle19 car14 0, 9 15
rectangle20 car14 0, 8 0
rectangle21 car14 1, 6 14
rectangle22 car14 1, 13 11
rectangle23 car14 0, 3 17
rectangle24 car14 0, 0 10
rectangle25 car14 1, 17 1
rectangle26 car14 1, 8 3
rectangle27 car14 1, 13 7
rectangle28 car14 1, 3 13
rectangle29 car14 1, 13 1
rectangle30 car14 0, 12 10
rectangle31 car14 1, 0 0
rectangle32 car14 1, 18 10
rectangle33 car14 1, 13 5
rectangle34 car14 0, 18 15
rectangle35 car14 1, 13 3
rectangle36 car14 1, 6 5
rectangle37 car14 1, 3 11
rectangle38 car14 0, 10 2
rectangle39 car14 1, 8 2
rectangle40 car14 0, 6 7
rectangle41 car14 1, 5 0
