rectangle1 car15 0, 5 6
rectangle2 car1 0, 4 4
rectangle3 car15 1, 0 13
rectangle4 car15 1, 0 6
rectangle5 car15 1, 13 2
rectangle6 car11 1, 0 5
rectangle7 car15 1, 13 9
rectangle8 car15 1, 4 1
rectangle9 car1 0, 4 9
rectangle10 car15 0, 5 8
rectangle11 car1 0, 2 0
rectangle12 car15 0, 5 9
rectangle13 car11 0, 3 2
rectangle14 car15 1, 6 7
rectangle15 car1 0, 7 0
rectangle16 car15 1, 5 12
rectangle17 car15 1, 0 0
rectangle18 car15 0, 8 0
rectangle19 car11 0, 0 0
rectangle20 car1 0, 7 6
rectangle21 car1 0, 0 5
rectangle22 car15 1, 0 9
rectangle23 car1 1, 5 9
rectangle24 car1 1, 10 9
rectangle25 car1 0, 9 3
rectangle26 car1 1, 0 1
rectangle27 car15 1, 13 0
rectangle28 car1 1, 0 8
rectangle29 car15 0, 7 4
rectangle30 car15 0, 13 10
rectangle31 car15 0, 14 2
rectangle32 car11 0, 3 0
rectangle33 car15 1, 12 5
rectangle34 car11 0, 5 5
rectangle35 car15 1, 8 9
rectangle36 car1 1, 7 3
rectangle37 car1 1, 1 0
rectangle38 car15 1, 0 3
rectangle39 car1 1, 3 8
rectangle40 car15 0, 7 1
rectangle41 car15 1, 4 0
rectangle42 car15 0, 4 3
rectangle43 car15 0, 10 11
